"","taxon","mean;difference (Infected - Healthy)","se (Infected - Healthy)","W","p;val","q;val","diff;abn"
"ee64a599c00b057f67feb4af4f7aa1f7","ee64a599c00b057f67feb4af4f7aa1f7","-0;1564121872","0;34501898","-0;4533437166","0;65030125809","0;9994715","FALSE"
"0a7dccd640f53aeb41557705c14b6933","0a7dccd640f53aeb41557705c14b6933"," 0;6443044037","0;49368620"," 1;3050889488","0;19186256138","0;9994715","FALSE"
"0518de9a345f49ce11f09b317c356545","0518de9a345f49ce11f09b317c356545"," 0;2104868926","0;21967390"," 0;9581788793","0;33797256554","0;9994715","FALSE"
"d076b9fc2d7c82cabae0784de6e1d37c","d076b9fc2d7c82cabae0784de6e1d37c","-0;1296962220","0;27364036","-0;4739659772","0;63552416920","0;9994715","FALSE"
"865206fbb45f7791076eb6603d446d20","865206fbb45f7791076eb6603d446d20"," 0;1599774545","0;28956807"," 0;5524692589","0;58062689050","0;9994715","FALSE"
"6457ce7701f8545b420b4e827004ff57","6457ce7701f8545b420b4e827004ff57","-0;1598484787","0;16543982","-0;9662031527","0;33394253561","0;9994715","FALSE"
"14f8afb640ff016f60d4f6484c71bb4e","14f8afb640ff016f60d4f6484c71bb4e","-0;4526049519","0;26188342","-1;7282688320","0;08394003825","0;9994715","FALSE"
"6026a3c735407aee1c80bdca89f97a03","6026a3c735407aee1c80bdca89f97a03"," 0;2619810265","0;17233400"," 1;5201935219","0;12846234507","0;9994715","FALSE"
"fccf791a5e8d53ef5f4ceda4d1153cc7","fccf791a5e8d53ef5f4ceda4d1153cc7"," 0;0533207242","0;28884793"," 0;1845979071","0;85354442762","0;9994715","FALSE"
"75f92387c815f70849698926bfdcfc93","75f92387c815f70849698926bfdcfc93","-0;2668079406","0;23809310","-1;1206034294","0;26245670459","0;9994715","FALSE"
"59685594056d6f41025808dcac3db175","59685594056d6f41025808dcac3db175"," 0;0661294875","0;24347554"," 0;2716062899","0;78592476254","0;9994715","FALSE"
"e7c96da862411a8c839d6c290026b806","e7c96da862411a8c839d6c290026b806","-0;0312555491","0;34728417","-0;0899999234","0;92828727568","0;9994715","FALSE"
"bf1019ed285210f849a94e96bc231692","bf1019ed285210f849a94e96bc231692","-0;0689935539","0;30537904","-0;2259275992","0;82125773166","0;9994715","FALSE"
"70645cb5397bc6a24f03bafcc26eb4ea","70645cb5397bc6a24f03bafcc26eb4ea","-0;1616232958","0;18038048","-0;8960132206","0;37024570232","0;9994715","FALSE"
"10c568040bf06e35583d9838171c3c10","10c568040bf06e35583d9838171c3c10"," 0;1912471335","0;28758788"," 0;6650041589","0;50604783299","0;9994715","FALSE"
"0bae6b5dc095a6d2f25ab49c1a6a9b31","0bae6b5dc095a6d2f25ab49c1a6a9b31","-0;0912270504","0;33831448","-0;2696516297","0;78742827632","0;9994715","FALSE"
"d1400c3fb5f795bf73de3175e8668c0a","d1400c3fb5f795bf73de3175e8668c0a","-0;0870185048","0;32828549","-0;2650696019","0;79095584414","0;9994715","FALSE"
"167faa4d028c4ae6ad8faeec76faf937","167faa4d028c4ae6ad8faeec76faf937"," 0;2399790054","0;37927553"," 0;6327300010","0;52690997488","0;9994715","FALSE"
"9460adb6fb7f2d993e506453e227a0d3","9460adb6fb7f2d993e506453e227a0d3","-0;0026933705","0;34192153","-0;0078771595","0;99371500103","0;9994715","FALSE"
"87e2f901c859229f799f1c5403e9c59c","87e2f901c859229f799f1c5403e9c59c","-0;2567032984","0;32886478","-0;7805740030","0;43505308689","0;9994715","FALSE"
"09fd7da85590a86e26441ea95c42d8b4","09fd7da85590a86e26441ea95c42d8b4","-0;1504513252","0;29163075","-0;5158966463","0;60592659654","0;9994715","FALSE"
"b128ad0cd92d541786fdd6e65a89676d","b128ad0cd92d541786fdd6e65a89676d"," 0;3994108109","0;39325435"," 1;0156551730","0;30979362159","0;9994715","FALSE"
"ea17706e0995c1f8c41d3d86d04fbb52","ea17706e0995c1f8c41d3d86d04fbb52"," 0;1794709216","0;29168105"," 0;6152985279","0;53835758957","0;9994715","FALSE"
"5e2c10522c2473d7707abf416caf8c94","5e2c10522c2473d7707abf416caf8c94","-0;2865480375","0;48299817","-0;5932694035","0;55300087164","0;9994715","FALSE"
"37a3356f7a1c94ea89474feb9d17b60f","37a3356f7a1c94ea89474feb9d17b60f"," 0;4414929100","0;41217197"," 1;0711376447","0;28410754387","0;9994715","FALSE"
"53777b50348ee275dfe0ddb4650726d3","53777b50348ee275dfe0ddb4650726d3","-0;3838559486","0;33720319","-1;1383520648","0;25497350159","0;9994715","FALSE"
"cbef0c54da29479bd798fc14ea3042eb","cbef0c54da29479bd798fc14ea3042eb","-0;3386149214","0;38883925","-0;8708352477","0;38384411651","0;9994715","FALSE"
"71c1d1d53949613c5a6a281174870ad1","71c1d1d53949613c5a6a281174870ad1","-0;0382027503","0;28813932","-0;1325843001","0;89452214953","0;9994715","FALSE"
"57364e4fcbdc58c6bbbb8b8f93eec11a","57364e4fcbdc58c6bbbb8b8f93eec11a"," 0;1159025346","0;28647006"," 0;4045886472","0;68577990493","0;9994715","FALSE"
"f4d8a531a207ea148cc88cb996b45493","f4d8a531a207ea148cc88cb996b45493","-0;5400579104","0;38861594","-1;3896957226","0;16462129426","0;9994715","FALSE"
"41f90ca17950dc455a4cef66494e11c9","41f90ca17950dc455a4cef66494e11c9"," 0;4865379290","0;30075436"," 1;6177252760","0;10572181627","0;9994715","FALSE"
"5501da85fa53404c3853f5578de773c0","5501da85fa53404c3853f5578de773c0"," 0;1322523260","0;24369624"," 0;5426933455","0;58734095673","0;9994715","FALSE"
"ce24f58d53a7a67f0152f984b31ba21c","ce24f58d53a7a67f0152f984b31ba21c"," 0;0392878208","0;39090640"," 0;1005044200","0;91994387395","0;9994715","FALSE"
"ad76ff1d2eb96f31f127fec6e9e2b14b","ad76ff1d2eb96f31f127fec6e9e2b14b"," 0;4015530277","0;31388291"," 1;2793083621","0;20078848909","0;9994715","FALSE"
"c76b0e2c78aa589a5e1f7f348dbf81aa","c76b0e2c78aa589a5e1f7f348dbf81aa"," 0;1539634749","0;30448205"," 0;5056569916","0;61309746550","0;9994715","FALSE"
"ff69f653a1b155fc82f76b6e3b571d3d","ff69f653a1b155fc82f76b6e3b571d3d","-0;0424382702","0;31845974","-0;1332610196","0;89398695441","0;9994715","FALSE"
"ec35290c10bac8d142ed0e5b712e437c","ec35290c10bac8d142ed0e5b712e437c","-0;1838728183","0;28890340","-0;6364508559","0;52448260274","0;9994715","FALSE"
"1845f2d3610e72b8598ce672f28d9de4","1845f2d3610e72b8598ce672f28d9de4","-0;0842763407","0;28736832","-0;2932694191","0;76931622655","0;9994715","FALSE"
"0799d5be8ccb16cfab14ec62701319ef","0799d5be8ccb16cfab14ec62701319ef","-0;0631652503","0;30727038","-0;2055689561","0;83712762905","0;9994715","FALSE"
"f2302232cb696b5c564ee297e2852618","f2302232cb696b5c564ee297e2852618","-0;2295883018","0;26396185","-0;8697783387","0;38442155133","0;9994715","FALSE"
"a5ffa40027386a1c568a7a33bfa3fcbc","a5ffa40027386a1c568a7a33bfa3fcbc"," 0;0656702290","0;24536322"," 0;2676449632","0;78897261753","0;9994715","FALSE"
"53471cd55f9db05905272e63e75c3d71","53471cd55f9db05905272e63e75c3d71","-0;1645830409","0;29090094","-0;5657700622","0;57155010042","0;9994715","FALSE"
"8f18a057d65060625b3549c7b7e54efd","8f18a057d65060625b3549c7b7e54efd","-0;1249359616","0;41670298","-0;2998201810","0;76431432085","0;9994715","FALSE"
"648065772e3c508674681348644ecc5f","648065772e3c508674681348644ecc5f"," 0;0226188506","0;20453210"," 0;1105882668","0;91194285212","0;9994715","FALSE"
"ee614c8f48f7bc1542d6ba9a64fabae0","ee614c8f48f7bc1542d6ba9a64fabae0"," 0;0226665338","0;20771181"," 0;1091249182","0;91310341107","0;9994715","FALSE"
"17b88b807d9016fefbd9f21de2ab0f27","17b88b807d9016fefbd9f21de2ab0f27"," 0;1160568524","0;41072720"," 0;2825643231","0;77751083219","0;9994715","FALSE"
"ede98392baddb2ba8cbf6b6b2c14a28d","ede98392baddb2ba8cbf6b6b2c14a28d","-0;0538705984","0;25394874","-0;2121317835","0;83200422429","0;9994715","FALSE"
"c9d57e650fb5063b5131701513321d1b","c9d57e650fb5063b5131701513321d1b"," 0;0444077798","0;20997243"," 0;2114933830","0;83250229506","0;9994715","FALSE"
"62a36667f8b1decc89aedf70dd36c8ce","62a36667f8b1decc89aedf70dd36c8ce"," 0;3403918368","0;40942426"," 0;8313914674","0;40575251773","0;9994715","FALSE"
"609eb3a02348810880d3968b68fbf24c","609eb3a02348810880d3968b68fbf24c","-0;2266882956","0;30786788","-0;7363168021","0;46153792325","0;9994715","FALSE"
"e1cb71968e5193ca554f725cc0f0762d","e1cb71968e5193ca554f725cc0f0762d"," 0;0905273456","0;18765762"," 0;4824069829","0;62951686156","0;9994715","FALSE"
"d0566d7177499d5cacdb330361254a8d","d0566d7177499d5cacdb330361254a8d","-0;0341570344","0;10830226","-0;3153861529","0;75246847916","0;9994715","FALSE"
"f947f451209616b697d1b41656cdbac3","f947f451209616b697d1b41656cdbac3","-0;0220514846","0;31466994","-0;0700781420","0;94413146405","0;9994715","FALSE"
"f5b477d192f9533f733fab468db2b8a5","f5b477d192f9533f733fab468db2b8a5"," 0;0439906614","0;19302115"," 0;2279059123","0;81971938635","0;9994715","FALSE"
"e023e49578f960840e4866b90663c61d","e023e49578f960840e4866b90663c61d"," 0;0631754773","0;29152072"," 0;2167100789","0;82843429285","0;9994715","FALSE"
"8a4542309837816057a4740c1b16387f","8a4542309837816057a4740c1b16387f","-0;4850069720","0;43551526","-1;1136394355","0;26543390127","0;9994715","FALSE"
"d832d1731732dae4e08a61619d67b246","d832d1731732dae4e08a61619d67b246"," 0;1437375426","0;18253739"," 0;7874416236","0;43102338876","0;9994715","FALSE"
"e46d53d06287f2ebcc2fa783ba3b27cf","e46d53d06287f2ebcc2fa783ba3b27cf"," 0;2881430044","0;22852197"," 1;2608984851","0;20734542408","0;9994715","FALSE"
"c8b9b0235743763f8618574c37ff1ee1","c8b9b0235743763f8618574c37ff1ee1"," 0;1503221673","0;19972017"," 0;7526639086","0;45165190313","0;9994715","FALSE"
"2642afdd0afd43f5aa41c1830c97727d","2642afdd0afd43f5aa41c1830c97727d"," 0;2214568318","0;25814202"," 0;8578875791","0;39095454349","0;9994715","FALSE"
"8b67e9a17f0191340a7965f40e1e455c","8b67e9a17f0191340a7965f40e1e455c","-0;1122794015","0;19927514","-0;5634390929","0;57313592345","0;9994715","FALSE"
"c0fe7e81bcdb656c35e27fdd4101bf5e","c0fe7e81bcdb656c35e27fdd4101bf5e"," 0;0832791612","0;24861312"," 0;3349749241","0;73764400217","0;9994715","FALSE"
"320308330d1c7b96c4722fb8c7c21048","320308330d1c7b96c4722fb8c7c21048","-0;4927254270","0;33752160","-1;4598337767","0;14433576313","0;9994715","FALSE"
"ff1f20defb7debccf206645b23148f34","ff1f20defb7debccf206645b23148f34"," 0;3642097215","0;34353855"," 1;0601713298","0;28906666175","0;9994715","FALSE"
"88b52c7e2874af5955c1ae3f1ce40ba6","88b52c7e2874af5955c1ae3f1ce40ba6"," 0;1061603528","0;33562802"," 0;3163036079","0;75177207293","0;9994715","FALSE"
"c77038ad3b0f7851eff80f0653a7d716","c77038ad3b0f7851eff80f0653a7d716"," 0;0448154282","0;22606265"," 0;1982434000","0;84285463299","0;9994715","FALSE"
"c7fb06ace1ac48610546a01fdebff034","c7fb06ace1ac48610546a01fdebff034"," 0;0856479102","0;32677075"," 0;2621039695","0;79324128654","0;9994715","FALSE"
"1c305ad4c3d6570f3ca6c116d6fdbc92","1c305ad4c3d6570f3ca6c116d6fdbc92","-0;2852173859","0;24390492","-1;1693794110","0;24225080133","0;9994715","FALSE"
"b808ed055cbba2b514ca9e8a99bf0f2d","b808ed055cbba2b514ca9e8a99bf0f2d"," 0;0425167523","0;47544836"," 0;0894245438","0;92874451851","0;9994715","FALSE"
"f4089a99833694426658121b8cbfdda0","f4089a99833694426658121b8cbfdda0"," 0;2913586292","0;24689269"," 1;1801022803","0;23795953781","0;9994715","FALSE"
"f7e842e07e5957287feba3df99d18ac8","f7e842e07e5957287feba3df99d18ac8"," 0;2393432109","0;23824024"," 1;0046296776","0;31507520132","0;9994715","FALSE"
"71cbe403d1a4b5ea0dcc84277087ccb0","71cbe403d1a4b5ea0dcc84277087ccb0"," 0;1730137361","0;15491257"," 1;1168476502","0;26405947103","0;9994715","FALSE"
"cbf3542717a2d0d943fc442f4cc8c1a2","cbf3542717a2d0d943fc442f4cc8c1a2"," 0;3405124371","0;43476317"," 0;7832136187","0;43350167889","0;9994715","FALSE"
"dc82f78f216099769e30ef359a1676c2","dc82f78f216099769e30ef359a1676c2"," 0;1970119481","0;26773114"," 0;7358574187","0;46181747339","0;9994715","FALSE"
"b2c1126d746f984e745d6ccb29f4a5df","b2c1126d746f984e745d6ccb29f4a5df","-0;4540270941","0;29569780","-1;5354429070","0;12467507104","0;9994715","FALSE"
"f26d2c154eec399c670014c619294c5c","f26d2c154eec399c670014c619294c5c","-0;4776744352","0;42099567","-1;1346302846","0;25653025860","0;9994715","FALSE"
"f5bcbafc511fa1b4f8494bb491df53ba","f5bcbafc511fa1b4f8494bb491df53ba"," 0;4860171658","0;28421103"," 1;7100573446","0;08725526950","0;9994715","FALSE"
"eeef6c021ae3f4c83e3b5698502109ad","eeef6c021ae3f4c83e3b5698502109ad","-0;1148191573","0;25702686","-0;4467204608","0;65507690673","0;9994715","FALSE"
"32a021e7bdb1b2a22d1e9afe4d49cc5c","32a021e7bdb1b2a22d1e9afe4d49cc5c","-0;1486108763","0;43083670","-0;3449355109","0;73014285328","0;9994715","FALSE"
"23d0c8dfa14a50cd01d8fb066c87be8c","23d0c8dfa14a50cd01d8fb066c87be8c"," 0;0770042221","0;18392167"," 0;4186794498","0;67545041641","0;9994715","FALSE"
"c177fda73abe6814330cec38f452cd36","c177fda73abe6814330cec38f452cd36","-0;0417897228","0;30311143","-0;1378691730","0;89034381407","0;9994715","FALSE"
"b7a1f9d7aa905c184ee9efe7453926aa","b7a1f9d7aa905c184ee9efe7453926aa"," 0;1030122999","0;47847998"," 0;2152907225","0;82954066243","0;9994715","FALSE"
"07ff497df71397a00e8dfcc8366b678f","07ff497df71397a00e8dfcc8366b678f","-0;1160950464","0;25129396","-0;4619890083","0;64408920279","0;9994715","FALSE"
"780889284c4953d948cdb76d73e6dbc8","780889284c4953d948cdb76d73e6dbc8"," 0;0047336624","0;31355028"," 0;0150969804","0;98795480996","0;9994715","FALSE"
"9c7004d8d39cbdf9f9e8eb1e9aba60e2","9c7004d8d39cbdf9f9e8eb1e9aba60e2"," 0;0072704582","0;34735632"," 0;0209308363","0;98330082818","0;9994715","FALSE"
"a1b965e0f67291fa5aa9e2489a684160","a1b965e0f67291fa5aa9e2489a684160","-0;0128342750","0;33981209","-0;0377687414","0;96987206735","0;9994715","FALSE"
"4a6ed83b8e76369266d60ca5a744ec5b","4a6ed83b8e76369266d60ca5a744ec5b"," 0;2619474750","0;23264966"," 1;1259310623","0;26019470016","0;9994715","FALSE"
"ac0df9756f170411a7ef60c2adfe1523","ac0df9756f170411a7ef60c2adfe1523","-0;1876647057","0;50539833","-0;3713203949","0;71039890918","0;9994715","FALSE"
"9160645ae731e3bdf0631e67eafad815","9160645ae731e3bdf0631e67eafad815"," 0;2001625484","0;42599143"," 0;4698745921","0;63844461796","0;9994715","FALSE"
"c9f61b02a9afdee5e0e0131fa9ca2e0d","c9f61b02a9afdee5e0e0131fa9ca2e0d","-0;1225924642","0;26934286","-0;4551539443","0;64899849142","0;9994715","FALSE"
"bfb344ecd970ff3ce3ba56f65ac73875","bfb344ecd970ff3ce3ba56f65ac73875"," 0;0956839716","0;26018914"," 0;3677477562","0;71306132768","0;9994715","FALSE"
"aa78e7b32ebae83f1f83f828c843feed","aa78e7b32ebae83f1f83f828c843feed"," 0;1729344655","0;36410383"," 0;4749591998","0;63481605452","0;9994715","FALSE"
"fa0f0d53737208ba9ae5e5a3316fb4b5","fa0f0d53737208ba9ae5e5a3316fb4b5"," 0;4834089788","0;14618830"," 3;3067556790","0;00094383173","0;4743429","FALSE"
"d5de8a6ee72bb1a0820661a6c8f80ba0","d5de8a6ee72bb1a0820661a6c8f80ba0"," 0;1297064468","0;28180493"," 0;4602703290","0;64532219566","0;9994715","FALSE"
"0e40237a28fca23d4d76908d8a740607","0e40237a28fca23d4d76908d8a740607","-0;0630641645","0;32179164","-0;1959782574","0;84462718408","0;9994715","FALSE"
"b54d8d9b321cf52590e4a2a9670a1a01","b54d8d9b321cf52590e4a2a9670a1a01","-0;6197508314","0;33828290","-1;8320489436","0;06694412903","0;9994715","FALSE"
"0c700a088eb502eee665e2226f165b87","0c700a088eb502eee665e2226f165b87","-0;0730186508","0;31043786","-0;2352118082","0;81404434146","0;9994715","FALSE"
"b15fb661f00febf70e114dadeb247ab5","b15fb661f00febf70e114dadeb247ab5","-0;3074356718","0;26253022","-1;1710486940","0;24157920486","0;9994715","FALSE"
"dac54df03c413ab7dfe57b9b2d257593","dac54df03c413ab7dfe57b9b2d257593"," 0;1025037222","0;31073337"," 0;3298767753","0;74149307277","0;9994715","FALSE"
"c5db564c856058f36a076b93c1b92fbe","c5db564c856058f36a076b93c1b92fbe"," 0;0635287707","0;35244252"," 0;1802528535","0;85695406681","0;9994715","FALSE"
"27f094c641d066d596d9d84009f194b3","27f094c641d066d596d9d84009f194b3","-0;2017915141","0;43663518","-0;4621512936","0;64397282870","0;9994715","FALSE"
"50644a287539fecba3e56469bbaacbf9","50644a287539fecba3e56469bbaacbf9"," 0;0755483866","0;11541327"," 0;6545901060","0;51273169593","0;9994715","FALSE"
"0564068f62952f801dd86d5075289e5f","0564068f62952f801dd86d5075289e5f"," 0;0321175261","0;24549469"," 0;1308277835","0;89591154386","0;9994715","FALSE"
"97f6c29ae34cb91a50e23068f733b1e2","97f6c29ae34cb91a50e23068f733b1e2"," 0;0294570749","0;29258939"," 0;1006771805","0;91980672666","0;9994715","FALSE"
"f1ae9de436f6111b0eba9ad6ae7422a1","f1ae9de436f6111b0eba9ad6ae7422a1"," 0;0232257814","0;30755454"," 0;0755176017","0;93980289336","0;9994715","FALSE"
"a4a3f5bfdae4da1c7589244dc99fdf58","a4a3f5bfdae4da1c7589244dc99fdf58"," 0;4583198994","0;28764773"," 1;5933374427","0;11108451126","0;9994715","FALSE"
"0936fb4e71c0c3d0c1d734ce09d5fb77","0936fb4e71c0c3d0c1d734ce09d5fb77","-0;1125381887","0;22296725","-0;5047296735","0;61374871644","0;9994715","FALSE"
"5d0bf697bd9bde462e95a670dc42b560","5d0bf697bd9bde462e95a670dc42b560"," 0;1114754481","0;42380813"," 0;2630328231","0;79252528042","0;9994715","FALSE"
"1be3768c4ce841d9fea4c21c51c52fa2","1be3768c4ce841d9fea4c21c51c52fa2"," 0;1445054077","0;25660924"," 0;5631340871","0;57334358165","0;9994715","FALSE"
"491db0fc2c336dd539e968d00ee09c7c","491db0fc2c336dd539e968d00ee09c7c"," 0;0247332192","0;31188549"," 0;0793022438","0;93679222165","0;9994715","FALSE"
"e77083514c15653bfaae427077e01424","e77083514c15653bfaae427077e01424"," 0;1033638500","0;29768263"," 0;3472283501","0;72841977395","0;9994715","FALSE"
"20b88767861a3499d3a8570bf2be4163","20b88767861a3499d3a8570bf2be4163","-0;6309031659","0;39073013","-1;6146775242","0;10638054728","0;9994715","FALSE"
"f427c80ef3200e1d37e5cbf2bb290bc1","f427c80ef3200e1d37e5cbf2bb290bc1","-0;1799927257","0;26446776","-0;6805847542","0;49613427644","0;9994715","FALSE"
"cf30b5e7a0d1f6b8c1dda0e94f6ede37","cf30b5e7a0d1f6b8c1dda0e94f6ede37"," 0;1082304416","0;32733901"," 0;3306371593","0;74091857436","0;9994715","FALSE"
"8bdddf084d2b2a8e34a7e856c74e4eb2","8bdddf084d2b2a8e34a7e856c74e4eb2"," 0;1889216327","0;19453982"," 0;9711206330","0;33148821026","0;9994715","FALSE"
"1937e8154d0a28d0a346f59a0a15d679","1937e8154d0a28d0a346f59a0a15d679"," 0;3461636036","0;32437734"," 1;0671633276","0;28589808934","0;9994715","FALSE"
"bfc09b3a1e6531db99e932b5e65c9ddb","bfc09b3a1e6531db99e932b5e65c9ddb"," 0;0322942506","0;32232141"," 0;1001926933","0;92019134675","0;9994715","FALSE"
"749e04e71c7f9252d14df488fa15e435","749e04e71c7f9252d14df488fa15e435","-0;2846913998","0;44061277","-0;6461260728","0;51819771135","0;9994715","FALSE"
"c68c864a1ee6f7630709b0740a1eef0f","c68c864a1ee6f7630709b0740a1eef0f","-0;2198830540","0;33889812","-0;6488175651","0;51645630263","0;9994715","FALSE"
"1825df9879c501aee5772050881440f8","1825df9879c501aee5772050881440f8"," 0;1965467081","0;48435381"," 0;4057916013","0;68489573020","0;9994715","FALSE"
"651f23534d159c37ccee418d5c6f914a","651f23534d159c37ccee418d5c6f914a"," 0;2104816956","0;29756545"," 0;7073458717","0;47935156555","0;9994715","FALSE"
"c25732fc697269490de001e6d928548d","c25732fc697269490de001e6d928548d","-0;2379471859","0;32356234","-0;7353982737","0;46209697291","0;9994715","FALSE"
"3e2199d3327bc5c100ba67ea45aaff86","3e2199d3327bc5c100ba67ea45aaff86","-0;2458504624","0;34258661","-0;7176300969","0;47298539509","0;9994715","FALSE"
"1b7eb0f5a912d5f5b8a0e57c5d13233f","1b7eb0f5a912d5f5b8a0e57c5d13233f","-0;2948231353","0;32735162","-0;9006313584","0;36778435583","0;9994715","FALSE"
"74b812415f134eb4980bbdfc764466c7","74b812415f134eb4980bbdfc764466c7"," 0;0452819890","0;21658255"," 0;2090749692","0;83438971454","0;9994715","FALSE"
"7803e147e2f136a8eef773de51902eec","7803e147e2f136a8eef773de51902eec","-0;1250112958","0;25892032","-0;4828176263","0;62922523432","0;9994715","FALSE"
"4ed8f8fe598ed0de37588391ba9fab8a","4ed8f8fe598ed0de37588391ba9fab8a","-0;0040714103","0;19589895","-0;0207832169","0;98341858586","0;9994715","FALSE"
"c8ce59dfa21e5517b6e378676cecb2a5","c8ce59dfa21e5517b6e378676cecb2a5"," 0;1350143627","0;20402211"," 0;6617633942","0;50812286943","0;9994715","FALSE"
"9227063050777114f416c245b77a4c2e","9227063050777114f416c245b77a4c2e"," 0;4552020427","0;32644618"," 1;3944168294","0;16319176893","0;9994715","FALSE"
"368480d48fcf86f93a946cedc8eeb25e","368480d48fcf86f93a946cedc8eeb25e"," 0;1273800442","0;23132734"," 0;5506484532","0;58187468681","0;9994715","FALSE"
"f0476dca3d200b90490e20e27376d58d","f0476dca3d200b90490e20e27376d58d"," 0;1207285631","0;37291342"," 0;3237442191","0;74613169019","0;9994715","FALSE"
