sampleid	Sample_Name	Feature_count	Condition	Field	Root_weight	GPSN	GPSW	Severity_plant	Severity_leaf	Nodules	Comments	Batch	Sample_or_control
NS.1671.002.FLD_ill_073_i7...IDT_i5_10.blank8_16S_L001_R1_001.fastq.gz	blank8	74144	Blank	NA	NA	NA	NA	NA	NA	NA	NA	8	Control
NS.1671.002.FLD_ill_001_i7...IDT_i5_2.blank9_16S_L001_R1_001.fastq.gz	blank9	3132	Blank	NA	NA	NA	NA	NA	NA	NA	NA	9	Control
NS.1671.002.FLD_ill_004_i7...IDT_i5_2.F1H10_16S_L001_R1_001.fastq.gz	F1H10	106581	Healthy	1	8,889475	37,652203	-87,94332	NA	NA	Unknown	NA	10	Sample
NS.1671.002.FLD_ill_074_i7...IDT_i5_10.F1H11_16S_L001_R1_001.fastq.gz	F1H11	82418	Healthy	1	7,782175	37,652203	-87,94332	NA	NA	Unknown	NA	9	Sample
NS.1671.002.FLD_ill_121_i7...IDT_i5_6.F1H12_16S_L001_R1_001.fastq.gz	F1H12	82101	Healthy	1	15,539375	37,652139	-87,943053	NA	NA	Yes	NA	2	Sample
NS.1671.002.FLD_ill_035_i7...IDT_i5_5.F1H13_16S_L001_R1_001.fastq.gz	F1H13	55559	Healthy	1	4,715475	37,652139	-87,943053	NA	NA	Unknown	NA	7	Sample
NS.1671.002.FLD_ill_145_i7...IDT_i5_9.F1H14_16S_L001_R1_001.fastq.gz	F1H14	96995	Healthy	1	18,596375	37,652333	-87,94305	NA	NA	Yes	NA	3	Sample
NS.1671.002.FLD_ill_027_i7...IDT_i5_5.F1H15_16S_L001_R1_001.fastq.gz	F1H15	59729	Healthy	1	11,479275	37,652333	-87,94305	NA	NA	Unknown	NA	11	Sample
NS.1671.002.FLD_ill_036_i7...IDT_i5_5.F1H16_16S_L001_R1_001.fastq.gz	F1H16	56031	Healthy	1	4,675075	37,652333	-87,94305	NA	NA	Unknown	NA	7	Sample
NS.1671.002.FLD_ill_122_i7...IDT_i5_6.F1H17_16S_L001_R1_001.fastq.gz	F1H17	89900	Healthy	1	17,595875	37,652333	-87,94305	NA	NA	Yes	NA	2	Sample
NS.1671.002.FLD_ill_060_i7...IDT_i5_8.F1H18_16S_L001_R1_001.fastq.gz	F1H18	48168	Healthy	1	8,002875	37,652333	-87,94305	NA	NA	Unknown	NA	8	Sample
NS.1671.002.FLD_ill_123_i7...IDT_i5_6.F1H19_16S_L001_R1_001.fastq.gz	F1H19	62116	Healthy	1	18,857775	37,652263	-87,942768	NA	NA	Yes	NA	2	Sample
NS.1671.002.FLD_ill_023_i7...IDT_i5_4.F1H2_16S_L001_R1_001.fastq.gz	F1H2	75653	Healthy	1	4,252075	37,652203	-87,94332	NA	NA	Unknown	NA	11	Sample
NS.1671.002.FLD_ill_124_i7...IDT_i5_6.F1H20_16S_L001_R1_001.fastq.gz	F1H20	90450	Healthy	1	16,856875	37,652263	-87,942768	NA	NA	Yes	NA	2	Sample
NS.1671.002.FLD_ill_037_i7...IDT_i5_5.F1H21_16S_L001_R1_001.fastq.gz	F1H21	66998	Healthy	1	10,786975	37,652158	-87,941629	NA	NA	Unknown	NA	7	Sample
NS.1671.002.FLD_ill_061_i7...IDT_i5_8.F1H22_16S_L001_R1_001.fastq.gz	F1H22	72687	Healthy	1	9,663075	37,652158	-87,941629	NA	NA	Unknown	NA	8	Sample
NS.1671.002.FLD_ill_146_i7...IDT_i5_9.F1H23_16S_L001_R1_001.fastq.gz	F1H23	93617	Healthy	1	15,229375	37,652158	-87,941629	NA	NA	Yes	NA	3	Sample
NS.1671.002.FLD_ill_062_i7...IDT_i5_8.F1H24_16S_L001_R1_001.fastq.gz	F1H24	50300	Healthy	1	11,017075	37,652158	-87,941629	NA	NA	Unknown	NA	8	Sample
NS.1671.002.FLD_ill_038_i7...IDT_i5_5.F1H25_16S_L001_R1_001.fastq.gz	F1H25	51728	Healthy	1	10,362975	37,652182	-87,940915	NA	NA	Unknown	Feces	7	Sample
NS.1671.002.FLD_ill_147_i7...IDT_i5_9.F1H26_16S_L001_R1_001.fastq.gz	F1H26	91340	Healthy	1	15,065975	37,652182	-87,940915	NA	NA	Yes	Feces	3	Sample
NS.1671.002.FLD_ill_072_i7...IDT_i5_10.F1H27_16S_L001_R1_001.fastq.gz	F1H27	84114	Healthy	1	7,486575	37,652182	-87,940915	NA	NA	Unknown	NA	13	Sample
NS.1671.002.FLD_ill_098_i7...IDT_i5_3.F1H28_16S_L001_R1_001.fastq.gz	F1H28	92438	Healthy	1	10,271275	37,652005	-87,940043	NA	NA	Unknown	NA	1	Sample
NS.1671.002.FLD_ill_125_i7...IDT_i5_6.F1H29_16S_L001_R1_001.fastq.gz	F1H29	91412	Healthy	1	16,424175	37,652054	-87,939619	NA	NA	Yes	NA	2	Sample
NS.1671.002.FLD_ill_059_i7...IDT_i5_8.F1H3_16S_L001_R1_001.fastq.gz	F1H3	50944	Healthy	1	6,017475	37,652203	-87,94332	NA	NA	Unknown	NA	8	Sample
NS.1671.002.FLD_ill_039_i7...IDT_i5_5.F1H30_16S_L001_R1_001.fastq.gz	F1H30	79817	Healthy	1	7,663475	37,652202	-87,940276	NA	NA	Unknown	Mushrooms	7	Sample
NS.1671.002.FLD_ill_024_i7...IDT_i5_4.F1H4_16S_L001_R1_001.fastq.gz	F1H4	96005	Healthy	1	4,414275	37,652203	-87,94332	NA	NA	Unknown	NA	11	Sample
NS.1671.002.FLD_ill_025_i7...IDT_i5_5.F1H5_16S_L001_R1_001.fastq.gz	F1H5	69339	Healthy	1	10,108575	37,652203	-87,94332	NA	NA	Unknown	NA	11	Sample
NS.1671.002.FLD_ill_097_i7...IDT_i5_3.F1H6_16S_L001_R1_001.fastq.gz	F1H6	92605	Healthy	1	3,981275	37,652203	-87,94332	NA	NA	Unknown	NA	1	Sample
NS.1671.002.FLD_ill_002_i7...IDT_i5_2.F1H7_16S_L001_R1_001.fastq.gz	F1H7	84702	Healthy	1	4,372475	37,652203	-87,94332	NA	NA	Unknown	NA	10	Sample
NS.1671.002.FLD_ill_003_i7...IDT_i5_2.F1H8_16S_L001_R1_001.fastq.gz	F1H8	93350	Healthy	1	9,780275	37,652203	-87,94332	NA	NA	Unknown	NA	10	Sample
NS.1671.002.FLD_ill_026_i7...IDT_i5_5.F1H9_16S_L001_R1_001.fastq.gz	F1H9	74595	Healthy	1	10,641875	37,652203	-87,94332	NA	NA	Unknown	NA	11	Sample
NS.1671.002.FLD_ill_047_i7...IDT_i5_6.F2H1_16S_L001_R1_001.fastq.gz	F2H1	66958	Healthy	2	3,851575	37,736775	-87,945451	NA	NA	Unknown	NA	7	Sample
NS.1671.002.FLD_ill_006_i7...IDT_i5_1.F2H10_16S_L001_R1_001.fastq.gz	F2H10	87512	Healthy	2	7,211775	37,735598	-87,946161	NA	NA	Unknown	Intertwined	5	Sample
NS.1671.002.FLD_ill_067_i7...IDT_i5_9.F2H11_16S_L001_R1_001.fastq.gz	F2H11	63340	Healthy	2	9,344875	37,736278	-87,947569	NA	NA	Unknown	NA	8	Sample
NS.1671.002.FLD_ill_007_i7...IDT_i5_1.F2H12_16S_L001_R1_001.fastq.gz	F2H12	109319	Healthy	2	12,125475	37,736278	-87,947569	NA	NA	Unknown	NA	5	Sample
NS.1671.002.FLD_ill_008_i7...IDT_i5_2.F2H13_16S_L001_R1_001.fastq.gz	F2H13	106725	Healthy	2	7,458375	37,736278	-87,947569	NA	NA	Unknown	NA	10	Sample
NS.1671.002.FLD_ill_068_i7...IDT_i5_9.F2H14_16S_L001_R1_001.fastq.gz	F2H14	50759	Healthy	2	9,314275	37,735938	-87,946994	NA	NA	Unknown	NA	8	Sample
NS.1671.002.FLD_ill_048_i7...IDT_i5_6.F2H15_16S_L001_R1_001.fastq.gz	F2H15	72686	Healthy	2	2,737475	37,735938	-87,946994	NA	NA	Unknown	NA	7	Sample
NS.1671.002.FLD_ill_149_i7...IDT_i5_9.F2H16_16S_L001_R1_001.fastq.gz	F2H16	91893	Healthy	2	11,509475	37,735938	-87,946994	NA	NA	Unknown	NA	3	Sample
NS.1671.002.FLD_ill_103_i7...IDT_i5_3.F2H17_16S_L001_R1_001.fastq.gz	F2H17	121615	Healthy	2	8,223775	37,735935	-87,946845	NA	NA	Unknown	Intertwined	1	Sample
NS.1671.002.FLD_ill_009_i7...IDT_i5_3.F2H18_16S_L001_R1_001.fastq.gz	F2H18	71228	Healthy	2	6,867975	37,735935	-87,946845	NA	NA	Unknown	NA	10	Sample
NS.1671.002.FLD_ill_069_i7...IDT_i5_9.F2H19_16S_L001_R1_001.fastq.gz	F2H19	68045	Healthy	2	12,815875	37,735935	-87,946845	NA	NA	Unknown	NA	8	Sample
NS.1671.002.FLD_ill_126_i7...IDT_i5_6.F2H2_16S_L001_R1_001.fastq.gz	F2H2	85985	Healthy	2	14,006275	37,736775	-87,945451	NA	NA	Unknown	NA	2	Sample
NS.1671.002.FLD_ill_049_i7...IDT_i5_7.F2H20_16S_L001_R1_001.fastq.gz	F2H20	93160	Healthy	2	8,788575	37,735935	-87,946845	NA	NA	Unknown	Intertwined	7	Sample
NS.1671.002.FLD_ill_010_i7...IDT_i5_3.F2H21_16S_L001_R1_001.fastq.gz	F2H21	85513	Healthy	2	11,864975	37,73643	-87,946181	NA	NA	Unknown	NA	10	Sample
NS.1671.002.FLD_ill_011_i7...IDT_i5_3.F2H22_16S_L001_R1_001.fastq.gz	F2H22	58492	Healthy	2	3,760875	37,73643	-87,946181	NA	NA	Unknown	NA	10	Sample
NS.1671.002.FLD_ill_070_i7...IDT_i5_9.F2H23_16S_L001_R1_001.fastq.gz	F2H23	53616	Healthy	2	8,553675	37,73643	-87,946181	NA	NA	Unknown	NA	8	Sample
NS.1671.002.FLD_ill_071_i7...IDT_i5_9.F2H24_16S_L001_R1_001.fastq.gz	F2H24	70733	Healthy	2	10,211775	37,73643	-87,946181	NA	NA	Unknown	Intertwined	8	Sample
NS.1671.002.FLD_ill_050_i7...IDT_i5_7.F2H25_16S_L001_R1_001.fastq.gz	F2H25	90862	Healthy	2	3,924375	37,736424	-87,946592	NA	NA	Unknown	NA	7	Sample
NS.1671.002.FLD_ill_077_i7...IDT_i5_10.F2H26_16S_L001_R1_001.fastq.gz	F2H26	67061	Healthy	2	7,335575	37,736424	-87,946592	NA	NA	Unknown	NA	9	Sample
NS.1671.002.FLD_ill_012_i7...IDT_i5_3.F2H27_16S_L001_R1_001.fastq.gz	F2H27	68260	Healthy	2	7,954875	37,736424	-87,946592	NA	NA	Unknown	NA	10	Sample
NS.1671.002.FLD_ill_072_i7...IDT_i5_9.F2H29_16S_L001_R1_001.fastq.gz	F2H29	79666	Healthy	2	9,653275	37,736642	-87,947127	NA	NA	Unknown	Intertwined	8	Sample
NS.1671.002.FLD_ill_076_i7...IDT_i5_10.F2H3_16S_L001_R1_001.fastq.gz	F2H3	55341	Healthy	2	6,788075	37,736775	-87,945451	NA	NA	Unknown	NA	9	Sample
NS.1671.002.FLD_ill_150_i7...IDT_i5_9.F2H30_16S_L001_R1_001.fastq.gz	F2H30	81965	Healthy	2	15,912375	37,73657	-87,9472035	NA	NA	Yes	Late_harvest	3	Sample
NS.1671.002.FLD_ill_004_i7...IDT_i5_1.F2H4_16S_L001_R1_001.fastq.gz	F2H4	91658	Healthy	2	5,851475	37,736137	-87,946136	NA	NA	Unknown	Intertwined	5	Sample
NS.1671.002.FLD_ill_005_i7...IDT_i5_1.F2H5_16S_L001_R1_001.fastq.gz	F2H5	78885	Healthy	2	6,855875	37,736137	-87,946136	NA	NA	Unknown	NA	5	Sample
NS.1671.002.FLD_ill_007_i7...IDT_i5_2.F2H6_16S_L001_R1_001.fastq.gz	F2H6	89651	Healthy	2	5,952375	37,735598	-87,946161	NA	NA	Unknown	NA	10	Sample
NS.1671.002.FLD_ill_127_i7...IDT_i5_6.F2H7_16S_L001_R1_001.fastq.gz	F2H7	82807	Healthy	2	15,798275	37,735598	-87,946161	NA	NA	Unknown	NA	2	Sample
NS.1671.002.FLD_ill_066_i7...IDT_i5_9.F2H8_16S_L001_R1_001.fastq.gz	F2H8	71612	Healthy	2	3,660375	37,735598	-87,946161	NA	NA	Unknown	Intertwined	8	Sample
NS.1671.002.FLD_ill_148_i7...IDT_i5_9.F2H9_16S_L001_R1_001.fastq.gz	F2H9	76161	Healthy	2	13,505775	37,735598	-87,946161	NA	NA	Unknown	NA	3	Sample
NS.1671.002.FLD_ill_048_i7...IDT_i5_7.F3H1_16S_L001_R1_001.fastq.gz	F3H1	98415	Healthy	3	7,984475	37,649927	-87,937627	NA	NA	Unknown	Intertwined	12	Sample
NS.1671.002.FLD_ill_089_i7...IDT_i5_1.F3H10_16S_L001_R1_001.fastq.gz	F3H10	69953	Healthy	3	6,762175	37,65035	-87,938843	NA	NA	Unknown	NA	13	Sample
NS.1671.002.FLD_ill_050_i7...IDT_i5_8.F3H11_16S_L001_R1_001.fastq.gz	F3H11	91117	Healthy	3	12,799075	37,65035	-87,938843	NA	NA	Unknown	NA	12	Sample
NS.1671.002.FLD_ill_051_i7...IDT_i5_8.F3H12_16S_L001_R1_001.fastq.gz	F3H12	57185	Healthy	3	7,527675	37,65035	-87,938843	NA	NA	Unknown	NA	12	Sample
NS.1671.002.FLD_ill_151_i7...IDT_i5_9.F3H13_16S_L001_R1_001.fastq.gz	F3H13	109796	Healthy	3	18,392275	37,650189	-87,938688	NA	NA	Yes	NA	3	Sample
NS.1671.002.FLD_ill_152_i7...IDT_i5_9.F3H14_16S_L001_R1_001.fastq.gz	F3H14	101334	Healthy	3	15,493575	37,650189	-87,938688	NA	NA	No	NA	3	Sample
NS.1671.002.FLD_ill_130_i7...IDT_i5_7.F3H15_16S_L001_R1_001.fastq.gz	F3H15	83301	Healthy	3	17,022975	37,650189	-87,938688	NA	NA	Yes	Intertwined	2	Sample
NS.1671.002.FLD_ill_131_i7...IDT_i5_7.F3H16_16S_L001_R1_001.fastq.gz	F3H16	72231	Healthy	3	15,910675	37,650189	-87,938688	NA	NA	Yes	NA	2	Sample
NS.1671.002.FLD_ill_132_i7...IDT_i5_7.F3H17_16S_L001_R1_001.fastq.gz	F3H17	77203	Healthy	3	22,742975	37,650267	-87,939255	NA	NA	Yes	NA	2	Sample
NS.1671.002.FLD_ill_078_i7...IDT_i5_10.F3H18_16S_L001_R1_001.fastq.gz	F3H18	58875	Healthy	3	12,391175	37,650267	-87,939255	NA	NA	Unknown	NA	9	Sample
NS.1671.002.FLD_ill_133_i7...IDT_i5_7.F3H19_16S_L001_R1_001.fastq.gz	F3H19	80402	Healthy	3	20,338275	37,650267	-87,939255	NA	NA	Yes	NA	2	Sample
NS.1671.002.FLD_ill_084_i7...IDT_i5_12.F3H2_16S_L001_R1_001.fastq.gz	F3H2	83190	Healthy	3	10,432175	37,649927	-87,937627	NA	NA	Unknown	NA	13	Sample
NS.1671.002.FLD_ill_134_i7...IDT_i5_7.F3H20_16S_L001_R1_001.fastq.gz	F3H20	97332	Healthy	3	13,617175	37,650267	-87,939255	NA	NA	Yes	NA	2	Sample
NS.1671.002.FLD_ill_135_i7...IDT_i5_7.F3H21_16S_L001_R1_001.fastq.gz	F3H21	83520	Healthy	3	18,035275	37,650056	-87,939301	NA	NA	Yes	NA	2	Sample
NS.1671.002.FLD_ill_013_i7...IDT_i5_3.F3H22_16S_L001_R1_001.fastq.gz	F3H22	65235	Healthy	3	10,998175	37,650056	-87,939301	NA	NA	Unknown	NA	10	Sample
NS.1671.002.FLD_ill_079_i7...IDT_i5_10.F3H23_16S_L001_R1_001.fastq.gz	F3H23	67244	Healthy	3	11,230775	37,650056	-87,939301	NA	NA	Unknown	NA	9	Sample
NS.1671.002.FLD_ill_090_i7...IDT_i5_1.F3H24_16S_L001_R1_001.fastq.gz	F3H24	68995	Healthy	3	21,983575	37,650056	-87,939301	NA	NA	Unknown	NA	13	Sample
NS.1671.002.FLD_ill_136_i7...IDT_i5_7.F3H25_16S_L001_R1_001.fastq.gz	F3H25	93085	Healthy	3	18,500775	37,649649	-87,939032	NA	NA	Yes	NA	2	Sample
NS.1671.002.FLD_ill_153_i7...IDT_i5_10.F3H26_16S_L001_R1_001.fastq.gz	F3H26	107748	Healthy	3	15,787175	37,649649	-87,939032	NA	NA	Yes	NA	3	Sample
NS.1671.002.FLD_ill_080_i7...IDT_i5_10.F3H27_16S_L001_R1_001.fastq.gz	F3H27	77428	Healthy	3	9,651975	37,649649	-87,939032	NA	NA	Unknown	NA	9	Sample
NS.1671.002.FLD_ill_081_i7...IDT_i5_11.F3H28_16S_L001_R1_001.fastq.gz	F3H28	86420	Healthy	3	3,609975	37,64961	-87,93852	NA	NA	Unknown	NA	9	Sample
NS.1671.002.FLD_ill_137_i7...IDT_i5_8.F3H29_16S_L001_R1_001.fastq.gz	F3H29	73754	Healthy	3	40,929275	37,64961	-87,93852	NA	NA	Yes	NA	2	Sample
NS.1671.002.FLD_ill_085_i7...IDT_i5_12.F3H3_16S_L001_R1_001.fastq.gz	F3H3	84092	Healthy	3	13,248275	37,649927	-87,937627	NA	NA	Unknown	NA	13	Sample
NS.1671.002.FLD_ill_014_i7...IDT_i5_3.F3H30_16S_L001_R1_001.fastq.gz	F3H30	60364	Healthy	3	10,040475	37,64961	-87,93852	NA	NA	Unknown	NA	10	Sample
NS.1671.002.FLD_ill_086_i7...IDT_i5_12.F3H4_16S_L001_R1_001.fastq.gz	F3H4	84231	Healthy	3	7,063475	37,650195	-87,937868	NA	NA	Unknown	Intertwined	13	Sample
NS.1671.002.FLD_ill_049_i7...IDT_i5_8.F3H5_16S_L001_R1_001.fastq.gz	F3H5	78886	Healthy	3	4,732475	37,650195	-87,937868	NA	NA	Unknown	NA	12	Sample
NS.1671.002.FLD_ill_087_i7...IDT_i5_12.F3H6_16S_L001_R1_001.fastq.gz	F3H6	76504	Healthy	3	12,055275	37,650195	-87,937868	NA	NA	Unknown	NA	13	Sample
NS.1671.002.FLD_ill_128_i7...IDT_i5_6.F3H7_16S_L001_R1_001.fastq.gz	F3H7	84116	Healthy	3	13,489575	37,650385	-87,938432	NA	NA	Yes	NA	2	Sample
NS.1671.002.FLD_ill_129_i7...IDT_i5_7.F3H8_16S_L001_R1_001.fastq.gz	F3H8	105507	Healthy	3	14,218275	37,650385	-87,938432	NA	NA	Yes	NA	2	Sample
NS.1671.002.FLD_ill_088_i7...IDT_i5_12.F3H9_16S_L001_R1_001.fastq.gz	F3H9	92361	Healthy	3	6,309975	37,650385	-87,938432	NA	NA	Unknown	NA	13	Sample
NS.1671.002.FLD_ill_019_i7...IDT_i5_4.F4H1_16S_L001_R1_001.fastq.gz	F4H1	92737	Healthy	4	9,360775	37,728131	-87,946365	NA	NA	Unknown	NA	10	Sample
NS.1671.002.FLD_ill_062_i7...IDT_i5_9.F4H10_16S_L001_R1_001.fastq.gz	F4H10	50468	Healthy	4	5,959775	37,728074	-87,946045	NA	NA	Unknown	Intertwined	12	Sample
NS.1671.002.FLD_ill_118_i7...IDT_i5_5.F4H11_16S_L001_R1_001.fastq.gz	F4H11	86777	Healthy	4	8,601975	37,728074	-87,946045	NA	NA	Unknown	Intertwined	1	Sample
NS.1671.002.FLD_ill_020_i7...IDT_i5_4.F4H12_16S_L001_R1_001.fastq.gz	F4H12	81211	Healthy	4	9,299975	37,728074	-87,946045	NA	NA	Unknown	NA	10	Sample
NS.1671.002.FLD_ill_021_i7...IDT_i5_4.F4H13_16S_L001_R1_001.fastq.gz	F4H13	77084	Healthy	4	7,373175	37,727827	-87,945811	NA	NA	Unknown	NA	10	Sample
NS.1671.002.FLD_ill_063_i7...IDT_i5_9.F4H14_16S_L001_R1_001.fastq.gz	F4H14	85138	Healthy	4	7,099875	37,727827	-87,945811	NA	NA	Unknown	NA	12	Sample
NS.1671.002.FLD_ill_064_i7...IDT_i5_9.F4H16_16S_L001_R1_001.fastq.gz	F4H16	75059	Healthy	4	8,528775	37,727827	-87,945811	NA	NA	Unknown	NA	12	Sample
NS.1671.002.FLD_ill_065_i7...IDT_i5_10.F4H18_16S_L001_R1_001.fastq.gz	F4H18	92355	Healthy	4	10,294675	37,72759	-87,94582	NA	NA	Unknown	NA	12	Sample
NS.1671.002.FLD_ill_087_i7...IDT_i5_11.F4H19_16S_L001_R1_001.fastq.gz	F4H19	62468	Healthy	4	11,075275	37,72759	-87,94582	NA	NA	Unknown	Intertwined	9	Sample
NS.1671.002.FLD_ill_114_i7...IDT_i5_5.F4H2_16S_L001_R1_001.fastq.gz	F4H2	126441	Healthy	4	12,969275	37,728131	-87,946365	NA	NA	Unknown	NA	1	Sample
NS.1671.002.FLD_ill_140_i7...IDT_i5_8.F4H20_16S_L001_R1_001.fastq.gz	F4H20	89005	Healthy	4	18,736275	37,72759	-87,94582	NA	NA	Yes	NA	2	Sample
NS.1671.002.FLD_ill_088_i7...IDT_i5_11.F4H21_16S_L001_R1_001.fastq.gz	F4H21	90551	Healthy	4	11,426875	37,727444	-87,945605	NA	NA	Unknown	NA	9	Sample
NS.1671.002.FLD_ill_066_i7...IDT_i5_10.F4H22_16S_L001_R1_001.fastq.gz	F4H22	75269	Healthy	4	5,727475	37,727444	-87,945605	NA	NA	Unknown	NA	12	Sample
NS.1671.002.FLD_ill_119_i7...IDT_i5_5.F4H23_16S_L001_R1_001.fastq.gz	F4H23	75108	Healthy	4	12,444275	37,727444	-87,945605	NA	NA	Unknown	NA	1	Sample
NS.1671.002.FLD_ill_141_i7...IDT_i5_8.F4H24_16S_L001_R1_001.fastq.gz	F4H24	87939	Healthy	4	14,809375	37,727444	-87,945605	NA	NA	Yes	NA	2	Sample
NS.1671.002.FLD_ill_067_i7...IDT_i5_10.F4H25_16S_L001_R1_001.fastq.gz	F4H25	56039	Healthy	4	9,189675	37,727759	-87,945329	NA	NA	Unknown	NA	12	Sample
NS.1671.002.FLD_ill_068_i7...IDT_i5_10.F4H26_16S_L001_R1_001.fastq.gz	F4H26	69521	Healthy	4	2,504775	37,727759	-87,945329	NA	NA	Unknown	NA	12	Sample
NS.1671.002.FLD_ill_142_i7...IDT_i5_8.F4H27_16S_L001_R1_001.fastq.gz	F4H27	81941	Healthy	4	13,875075	37,727759	-87,945329	NA	NA	Yes	NA	2	Sample
NS.1671.002.FLD_ill_069_i7...IDT_i5_10.F4H28_16S_L001_R1_001.fastq.gz	F4H28	69445	Healthy	4	6,338575	37,727339	-87,945323	NA	NA	Unknown	NA	12	Sample
NS.1671.002.FLD_ill_008_i7...IDT_i5_1.F4H29_16S_L001_R1_001.fastq.gz	F4H29	75801	Healthy	4	11,862075	37,727339	-87,945323	NA	NA	Unknown	NA	5	Sample
NS.1671.002.FLD_ill_060_i7...IDT_i5_9.F4H3_16S_L001_R1_001.fastq.gz	F4H3	72763	Healthy	4	9,100775	37,728131	-87,946365	NA	NA	Unknown	Intertwined	12	Sample
NS.1671.002.FLD_ill_070_i7...IDT_i5_10.F4H30_16S_L001_R1_001.fastq.gz	F4H30	80475	Healthy	4	4,431875	37,727339	-87,945323	NA	NA	Unknown	NA	12	Sample
NS.1671.002.FLD_ill_139_i7...IDT_i5_8.F4H4_16S_L001_R1_001.fastq.gz	F4H4	57524	Healthy	4	16,401475	37,728131	-87,946365	NA	NA	Yes	Intertwined	2	Sample
NS.1671.002.FLD_ill_011_i7...IDT_i5_2.F4H5_16S_L001_R1_001.fastq.gz	F4H5	61043	Healthy	4	8,294675	37,72826	-87,946225	NA	NA	Unknown	NA	5	Sample
NS.1671.002.FLD_ill_061_i7...IDT_i5_9.F4H6_16S_L001_R1_001.fastq.gz	F4H6	74690	Healthy	4	10,740375	37,72826	-87,946225	NA	NA	Unknown	NA	12	Sample
NS.1671.002.FLD_ill_115_i7...IDT_i5_5.F4H7_16S_L001_R1_001.fastq.gz	F4H7	85457	Healthy	4	7,288675	37,72826	-87,946225	NA	NA	Unknown	NA	1	Sample
NS.1671.002.FLD_ill_116_i7...IDT_i5_5.F4H8_16S_L001_R1_001.fastq.gz	F4H8	99651	Healthy	4	8,777675	37,72826	-87,946225	NA	NA	Unknown	NA	1	Sample
NS.1671.002.FLD_ill_117_i7...IDT_i5_5.F4H9_16S_L001_R1_001.fastq.gz	F4H9	89953	Healthy	4	12,393375	37,728074	-87,946045	NA	NA	Unknown	NA	1	Sample
NS.1671.002.FLD_ill_099_i7...IDT_i5_3.F1D1_16S_L001_R1_001.fastq.gz	F1D1	71978	Infected	1	1,869875	37,652203	-87,94332	1	1	Unknown	NA	1	Sample
NS.1671.002.FLD_ill_102_i7...IDT_i5_3.F1D10_16S_L001_R1_001.fastq.gz	F1D10	85593	Infected	1	3,365075	37,652203	-87,94332	1	2	Unknown	NA	1	Sample
NS.1671.002.FLD_ill_006_i7...IDT_i5_2.F1D11_16S_L001_R1_001.fastq.gz	F1D11	76866	Infected	1	4,398275	37,652203	-87,94332	1	1	Unknown	NA	10	Sample
NS.1671.002.FLD_ill_073_i7...IDT_i5_11.F1D12_16S_L001_R1_001.fastq.gz	F1D12	86964	Infected	1	7,927175	37,652139	-87,943053	1	2	Unknown	NA	13	Sample
NS.1671.002.FLD_ill_040_i7...IDT_i5_5.F1D13_16S_L001_R1_001.fastq.gz	F1D13	100266	Infected	1	5,159775	37,652139	-87,943053	1	2	Unknown	NA	7	Sample
NS.1671.002.FLD_ill_074_i7...IDT_i5_11.F1D14_16S_L001_R1_001.fastq.gz	F1D14	84222	Infected	1	6,272275	37,652333	-87,94305	1	2	Unknown	NA	13	Sample
