ID	contribution	stdev	pval	padj	method
4446d2a211e0a41b6b526dd4940fe073	0.000	0.000	0.603	1	Simper
4a1a4c83702a6c44562e2daa13bf3514	0.003	0.012	0.610	1	Simper
223bd77c5c34f4e9e40c3dfd53dffafc	0.000	0.000	0.611	1	Simper
645108570a0870b22f3289c5b82bf22e	0.000	0.001	0.619	1	Simper
a294a6334e4208490c478e9073d7270c	0.019	0.092	0.625	1	Simper
dfaaa901a526111d492d3d2f61435275	0.000	0.000	0.657	1	Simper
369977194325fa77afd733d37c92c63d	0.000	0.000	0.670	1	Simper
1760e66b93ff7aa728b6898fa572bc2d	0.000	0.000	0.724	1	Simper
a692aae1c416358d582103d64b3774f2	0.001	0.004	0.726	1	Simper
9a8798b380171e379eb66ee08e76ece1	0.000	0.001	0.728	1	Simper
22358af799b12718b2413db582b1a6af	0.000	0.000	0.728	1	Simper
b7b6c3fd8f90372ec9ab4e7bd7df8507	0.002	0.009	0.729	1	Simper
c0c4bc43d1ba371268726299b45b754a	0.000	0.000	0.732	1	Simper
4f59249301b989a2e45240235f71f3d2	0.004	0.020	0.734	1	Simper
92e7c471bf50233a39a459ff5b204b3e	0.000	0.000	0.736	1	Simper
cf16828665dee40dfa4b6bade4cf21ef	0.005	0.018	0.738	1	Simper
399dce84cd757a93a8527510b06e307a	0.003	0.013	0.739	1	Simper
3d6595ba0dd3b1779363e84e947fc1c4	0.000	0.000	0.739	1	Simper
45c35d69f417bd7d4cbe61dd5a0f083e	0.005	0.024	0.740	1	Simper
b84ffd3d3404ece823346fd8ed2df099	0.000	0.002	0.740	1	Simper
7d2ea1f51c60d58d0660446d4774a59a	0.000	0.001	0.740	1	Simper
9880373d82d00984bcfd9dddced13e34	0.001	0.005	0.741	1	Simper
8888c9b2d3933081f63651b9bfdbe480	0.042	0.092	0.745	1	Simper
3595b98686ee678c017f6a39f2ba8e7e	0.000	0.000	0.746	1	Simper
c1c7dac2c6665e89f90cda95c53e086e	0.003	0.012	0.749	1	Simper
a135d244d0364d5d06535e56882a84a5	0.000	0.000	0.750	1	Simper
3afe92f292286577802cddba507f140e	0.009	0.046	0.751	1	Simper
071be45c44bec0f49b498f73b15dd3d2	0.008	0.037	0.757	1	Simper
adba26ac34bc5a82de3fd3fb5efbd33e	0.001	0.005	0.757	1	Simper
034aaec3b477baaaad7676a87004e735	0.001	0.007	0.761	1	Simper
3a12705bdb700b87026ea27254e8fa89	0.000	0.000	0.765	1	Simper
ee0d28cca895e4a213be07178c2fefba	0.001	0.004	0.767	1	Simper
a4e3412f19bae543184b7ee353711e30	0.001	0.002	0.794	1	Simper
d40cb52e5d7086fee99ae0907fd334f9	0.000	0.000	0.818	1	Simper
6915ce702b5bac12f5018e69a2bca72e	0.010	0.038	0.822	1	Simper
643e1fe5e4374e56b15854c0ab8bd517	0.001	0.001	0.825	1	Simper
bdf8ede33b2c7001840621a6f72229dd	0.000	0.001	0.848	1	Simper
872b2757f7ef15b1ef26b3f9936bcf31	0.002	0.003	0.853	1	Simper
579e5bbf5706c28209744c33484c4b8c	0.006	0.026	0.859	1	Simper
511bd796069111a3a3e99c2d13907211	0.000	0.000	0.866	1	Simper
fd6ff46f1b85f9ed17f80fe98868119c	0.001	0.003	0.873	1	Simper
71d1bd285cdf78ebfd3ef9d9c9a40241	0.004	0.018	0.875	1	Simper
c10027370c67bc9ee9b945c53d20ab5c	0.000	0.000	0.879	1	Simper
8886b2b13e2ddffa6f24c3ba02bde095	0.000	0.001	0.913	1	Simper
08d77d3861ee0c24205b9a999144495f	0.003	0.010	0.928	1	Simper
1c9a25f511df933eb3476dbbbb46a199	0.003	0.008	0.934	1	Simper
116156fee4dfb6a544121c9b98a23c74	0.076	0.135	0.960	1	Simper
efef4e897400bf9054e9c2a7eda09a78	0.000	0.001	0.974	1	Simper
78e3be9fa222d3a314799a1a883f6b66	0.007	0.025	0.998	1	Simper
f9714344beb252703d97bed4752ae788	0.012	0.063	1	1	Simper
18ff3ee57c402652b7156ed14071d0ab	0.010	0.053	1	1	Simper
62da65200185b257193a5e6d38677242	0.010	0.053	1	1	Simper
78974ea98df25e5c1ba04801cfcee414	0.006	0.030	1	1	Simper
c1f96ac17ac6c32cbf88341fce4c8d9d	0.006	0.029	1	1	Simper
542b8274cc0abe38ef023b02b57dbf9b	0.005	0.018	1	1	Simper
22c4ee4deafd2a50e123031f9e973ddd	0.004	0.023	1	1	Simper
8dcb1c66dadcbfce80141ab20ccf1ea1	0.003	0.012	1	1	Simper
104d07a34368d9f652c61bbb84e59327	0.003	0.015	1	1	Simper
d8fc54bcadbf7fcc5cd3d7c2bf678f8f	0.002	0.009	1	1	Simper
9e6878f45a5eb2ea642bc92e840afdf7	0.001	0.006	1	1	Simper
d75885b537a312c667e41d5afe3bee27	0.001	0.005	1	1	Simper
b88919456fa9bc9afe13c91708403a1b	0.001	0.003	1	1	Simper
ee297847e00487e7f148dc495efc4ebe	0.001	0.002	1	1	Simper
5f3b8380fd0ae0e537a43b002c4e7a67	0.000	0.002	1	1	Simper
ccba5d69de041201ee8e163c1c4b23bb	0.000	0.002	1	1	Simper
fb4b6d91dda35da5c766e6747c71efdb	0.000	0.002	1	1	Simper
b18075a005d898e4fefada059d7e1684	0.000	0.002	1	1	Simper
5507ca21e75b9dee479d164ae91bf887	0.000	0.002	1	1	Simper
4a8dbbec00787fa2cc2ee08274f8ce4c	0.000	0.001	1	1	Simper
2b3c915c3bce80b053b118bfac9819c6	0.000	0.001	1	1	Simper
5ae1f1acc18efc7823c3415d779b0385	0.000	0.001	1	1	Simper
d61038bd0af574cc1fb1f9ecef204bbf	0.000	0.001	1	1	Simper
211d2dbbc4c623c2e960bb29d37d40fa	0.000	0.001	1	1	Simper
fe69850846e2271a5906e8d2d8c09040	0.000	0.001	1	1	Simper
a992aa1cc0c433a9e86e33cbc0489c4b	0.000	0.001	1	1	Simper
f5a2b8967fd8d135803af8c0601cd4e0	0.000	0.000	1	1	Simper
825f13155fdb6aff8a51b2e23783d436	0.000	0.000	1	1	Simper
38bad4cf4a320d649be0d854b3cf98be	0.000	0.000	1	1	Simper
0df685ffc0887a530be9364c346bad5e	0.000	0.000	1	1	Simper
c2cf452e2e4b142723e0654f167ee870	0.000	0.000	1	1	Simper
68f6f56543e7b4195061892a90ea0315	0.000	0.000	1	1	Simper
77d225e6605a71a9a33a9aeb33bdb890	0.000	0.000	1	1	Simper
b77627ad049c7569beb5e5bb351b9a50	0.000	0.000	1	1	Simper
de7864dafea9b68a565a62c31bc8339e	0.000	0.000	1	1	Simper
2bc5d4320e54797a39359dc0676cf450	0.000	0.000	1	1	Simper
60ae902a3e046edce4cc5f9cc1ac73ea	0.000	0.000	1	1	Simper
0fa5da88bc26c3d497597b2ecbf33634	0.000	0.000	1	1	Simper
30526a7a4d826edd9b043b56bd8e847a	0.000	0.000	1	1	Simper
db7d937668dd436e5a4c657b8cd5329f	0.000	0.000	1	1	Simper
983cf9a4e7016105283f24743d919f25	0.000	0.000	1	1	Simper
f9fd90420aaf24633adee0901df06f08	0.000	0.000	1	1	Simper
