ID	pval	padj	R2	method
fe1557e7eea603d3e9a1356de4c894f1	0.356	0.993	0.128	Spearman
db7d937668dd436e5a4c657b8cd5329f	0.363	0.993	0.121	Spearman
77d225e6605a71a9a33a9aeb33bdb890	0.372	0.993	0.124	Spearman
b4b232f214f775bcc3308653d7741f1a	0.374	0.993	0.126	Spearman
b84ffd3d3404ece823346fd8ed2df099	0.377	0.993	0.121	Spearman
2bc5d4320e54797a39359dc0676cf450	0.379	0.993	0.124	Spearman
211d2dbbc4c623c2e960bb29d37d40fa	0.379	0.993	0.124	Spearman
6915ce702b5bac12f5018e69a2bca72e	0.384	0.993	0.121	Spearman
71d1bd285cdf78ebfd3ef9d9c9a40241	0.385	0.993	0.117	Spearman
5507ca21e75b9dee479d164ae91bf887	0.385	0.993	0.115	Spearman
78e3be9fa222d3a314799a1a883f6b66	0.389	0.993	0.124	Spearman
c0c4bc43d1ba371268726299b45b754a	0.395	0.993	0.117	Spearman
c1f96ac17ac6c32cbf88341fce4c8d9d	0.404	0.993	0.115	Spearman
3a12705bdb700b87026ea27254e8fa89	0.405	0.993	0.115	Spearman
2ea15125b3c28f70f4e9b2011fb1b32e	0.405	0.993	0.117	Spearman
c10027370c67bc9ee9b945c53d20ab5c	0.405	0.993	0.117	Spearman
983cf9a4e7016105283f24743d919f25	0.415	0.993	0.110	Spearman
b77627ad049c7569beb5e5bb351b9a50	0.416	0.993	0.112	Spearman
3595b98686ee678c017f6a39f2ba8e7e	0.418	0.993	0.115	Spearman
e87dc9cc994d0c5c48a42ee91aae6eae	0.422	0.993	0.105	Spearman
dc47c740766072a818fc135fbbb85402	0.426	0.993	-0.110	Spearman
efef4e897400bf9054e9c2a7eda09a78	0.429	0.993	0.108	Spearman
de7864dafea9b68a565a62c31bc8339e	0.430	0.993	0.110	Spearman
175a157b503cdbac0149f491726d55a0	0.435	0.993	0.110	Spearman
c1c7dac2c6665e89f90cda95c53e086e	0.439	0.993	0.105	Spearman
9880373d82d00984bcfd9dddced13e34	0.443	0.993	0.105	Spearman
3afe92f292286577802cddba507f140e	0.446	0.993	0.108	Spearman
cf16828665dee40dfa4b6bade4cf21ef	0.448	0.993	0.099	Spearman
60ae902a3e046edce4cc5f9cc1ac73ea	0.451	0.993	0.105	Spearman
30526a7a4d826edd9b043b56bd8e847a	0.460	0.993	0.105	Spearman
a692aae1c416358d582103d64b3774f2	0.460	0.993	0.103	Spearman
bc1d8d569b4547c1c5c74417dca42c12	0.461	0.993	0.103	Spearman
071be45c44bec0f49b498f73b15dd3d2	0.463	0.993	0.101	Spearman
ccba5d69de041201ee8e163c1c4b23bb	0.467	0.993	0.096	Spearman
3123b5aa3c0f158260f64b2832af8167	0.472	0.993	0.101	Spearman
22358af799b12718b2413db582b1a6af	0.472	0.993	0.096	Spearman
9e6878f45a5eb2ea642bc92e840afdf7	0.473	0.993	0.096	Spearman
511bd796069111a3a3e99c2d13907211	0.473	0.993	0.094	Spearman
b88919456fa9bc9afe13c91708403a1b	0.478	0.993	0.089	Spearman
92e7c471bf50233a39a459ff5b204b3e	0.482	0.993	0.096	Spearman
18ff3ee57c402652b7156ed14071d0ab	0.484	0.993	0.089	Spearman
4446d2a211e0a41b6b526dd4940fe073	0.488	0.993	0.096	Spearman
4f59249301b989a2e45240235f71f3d2	0.492	0.993	0.096	Spearman
45c35d69f417bd7d4cbe61dd5a0f083e	0.493	0.993	0.096	Spearman
fb4b6d91dda35da5c766e6747c71efdb	0.496	0.993	0.096	Spearman
643e1fe5e4374e56b15854c0ab8bd517	0.497	0.993	0.096	Spearman
2b3c915c3bce80b053b118bfac9819c6	0.497	0.993	0.096	Spearman
fd7880a6988b84aaaf0c433708c2efa6	0.497	0.993	-0.094	Spearman
1c9a25f511df933eb3476dbbbb46a199	0.502	0.993	0.094	Spearman
f9fd90420aaf24633adee0901df06f08	0.505	0.993	0.092	Spearman
5bf5a35fbf5c2c129b31a4aaa02679bd	0.507	0.993	-0.092	Spearman
8512a0ed11476e591ffa9a713b8d9df3	0.510	0.993	0.089	Spearman
5efce6b21a9c05541f7e777341156e96	0.511	0.993	0.089	Spearman
399dce84cd757a93a8527510b06e307a	0.512	0.993	0.089	Spearman
a992aa1cc0c433a9e86e33cbc0489c4b	0.512	0.993	0.089	Spearman
22c4ee4deafd2a50e123031f9e973ddd	0.514	0.993	0.089	Spearman
76dc3809d214159c017b2f987364f7e0	0.521	0.993	0.089	Spearman
f5a2b8967fd8d135803af8c0601cd4e0	0.534	0.993	0.089	Spearman
37e6c524ce699f13fe323a63bc20adf9	0.535	0.993	-0.080	Spearman
7d2ea1f51c60d58d0660446d4774a59a	0.541	0.993	0.085	Spearman
ee0d28cca895e4a213be07178c2fefba	0.544	0.993	0.087	Spearman
3d6595ba0dd3b1779363e84e947fc1c4	0.550	0.993	0.080	Spearman
bdf8ede33b2c7001840621a6f72229dd	0.551	0.993	0.082	Spearman
0fa5da88bc26c3d497597b2ecbf33634	0.560	0.993	0.082	Spearman
348be596f79f125aafbe95efa903cbd9	0.566	0.993	0.082	Spearman
d0663dc6e98d4272e5c13d317fed72cc	0.566	0.993	-0.076	Spearman
d8fc54bcadbf7fcc5cd3d7c2bf678f8f	0.568	0.993	0.080	Spearman
5ae8bbf464d292ab3b75086ef4ff2fb1	0.573	0.993	0.080	Spearman
d75885b537a312c667e41d5afe3bee27	0.573	0.993	0.080	Spearman
b18075a005d898e4fefada059d7e1684	0.573	0.993	0.078	Spearman
5ae1f1acc18efc7823c3415d779b0385	0.574	0.993	0.076	Spearman
f9714344beb252703d97bed4752ae788	0.574	0.993	0.078	Spearman
b0155a887805143545218ffe760eda06	0.576	0.993	0.076	Spearman
4a8dbbec00787fa2cc2ee08274f8ce4c	0.581	0.993	0.076	Spearman
62da65200185b257193a5e6d38677242	0.587	0.993	0.076	Spearman
325f464ad49685c1e5420d17aa147d15	0.588	0.993	0.078	Spearman
7ff01134216b54c40a3d44f59c565338	0.589	0.993	0.073	Spearman
0ef57e8afd9085d240cb5ca96d3578ad	0.589	0.993	0.076	Spearman
97e3be015d0ad3c9c56ccbd57f9c0feb	0.590	0.993	0.080	Spearman
9e58e4736ae679b38ae8de9b3fc3d7ee	0.597	0.993	0.078	Spearman
8dcb1c66dadcbfce80141ab20ccf1ea1	0.597	0.993	0.066	Spearman
825f13155fdb6aff8a51b2e23783d436	0.607	0.993	0.069	Spearman
526fa77d5328b0a41df33317dfe135e2	0.629	0.993	0.066	Spearman
1cc1bac06496093e1f4903bb981b67a4	0.631	0.993	0.066	Spearman
317082b6c8a20c520c8e26de3ce89caa	0.632	0.993	0.069	Spearman
b6d488bfbf30ff5ee3e75bbefccb6032	0.633	0.993	0.066	Spearman
543d211dd0ff4f6d0066ec3850ed5082	0.636	0.993	0.069	Spearman
a158cb84cd379842d99cf6726247efcd	0.636	0.993	0.060	Spearman
5f3b8380fd0ae0e537a43b002c4e7a67	0.638	0.993	0.064	Spearman
38bad4cf4a320d649be0d854b3cf98be	0.655	0.993	0.062	Spearman
e71fb4db708f786a39f0bf2bd9b6e50b	0.658	0.993	0.057	Spearman
78974ea98df25e5c1ba04801cfcee414	0.670	0.993	0.060	Spearman
149b57f90ba9fdc1aa38b84570147bd9	0.671	0.993	0.060	Spearman
af7a6845c73f4a26d0abf34aef9a2a64	0.673	0.993	0.057	Spearman
93dc6bb121df4cf4164c024ac00012b4	0.674	0.993	0.057	Spearman
542b8274cc0abe38ef023b02b57dbf9b	0.676	0.993	0.053	Spearman
68f6f56543e7b4195061892a90ea0315	0.681	0.993	0.057	Spearman
3e0f023636975b57382d70fe0a52bf1e	0.684	0.993	0.050	Spearman
299a98fef4b37a7f125b41049760c6d7	0.689	0.993	0.060	Spearman
ee297847e00487e7f148dc495efc4ebe	0.689	0.993	0.053	Spearman
450fb80a8aa341cdf33eee2dac5fe23b	0.690	0.993	0.057	Spearman
53c621cb35a1c35186d82a7c60de1bf0	0.691	0.993	0.055	Spearman
96e8d503a1148ba899683ec5ab9b05d9	0.703	0.993	0.057	Spearman
a4977746f215ec32e61883e81da46126	0.704	0.993	0.053	Spearman
b47360a961b32fd49a797faf00c4d3de	0.706	0.993	0.053	Spearman
d6992915e0c28999e8d466f1592d8b7a	0.720	0.993	-0.050	Spearman
127a70b0f52e8c85609ada55978456d9	0.722	0.993	0.050	Spearman
369977194325fa77afd733d37c92c63d	0.723	0.993	0.053	Spearman
faef5307d71a48c6d6d40336c90c8d60	0.728	0.993	0.048	Spearman
7815ca3b2d75f9ff6a3589a9dea5b8c6	0.730	0.993	0.048	Spearman
0df685ffc0887a530be9364c346bad5e	0.730	0.993	0.050	Spearman
99d56121b201885e2327e1aaefee27e0	0.732	0.993	0.048	Spearman
872b2757f7ef15b1ef26b3f9936bcf31	0.732	0.993	0.046	Spearman
3f3d70d8216a76f49f3a361d0d9ab15f	0.732	0.993	0.048	Spearman
22aea799615e8e1467f7b56605053545	0.732	0.993	0.050	Spearman
2e3c54c72de596f4c4009971b90895d7	0.735	0.993	0.050	Spearman
fe69850846e2271a5906e8d2d8c09040	0.736	0.993	0.053	Spearman
ba01d82683535dedddbe18c540d309be	0.736	0.993	0.046	Spearman
5e317160f53054af730b0a3123e7e9b6	0.737	0.993	0.050	Spearman
c2cf452e2e4b142723e0654f167ee870	0.741	0.993	0.046	Spearman
da230b788ed11070ab619cf95eec6577	0.745	0.993	0.044	Spearman
8886b2b13e2ddffa6f24c3ba02bde095	0.746	0.993	0.048	Spearman
104d07a34368d9f652c61bbb84e59327	0.748	0.993	0.044	Spearman
8c6d27c2bc40b12979bd9d5544237b81	0.752	0.993	0.044	Spearman
2b59d468bbdb1f86c22fcebd61f5d5cb	0.752	0.993	0.048	Spearman
1b0539acdc7399feee3aaebdd5e61067	0.753	0.993	-0.044	Spearman
9c7970c0800382fbe01230164e6149fb	0.755	0.993	0.041	Spearman
a4bbfb428c8d35739d668a60656037fc	0.758	0.993	0.039	Spearman
66784a97073d9affb5b9dd057c7d5195	0.761	0.993	0.041	Spearman
f5f092fdfbb1dcc0827bf409ad96e634	0.766	0.993	0.044	Spearman
344a99c4890ae9d218c68b7173d0389c	0.772	0.993	0.041	Spearman
ea4f3d7471d698fb962e28a5f213caf2	0.778	0.993	0.041	Spearman
ca8c1cc094272e70ff21f563a2af81c3	0.785	0.993	-0.039	Spearman
1eff341aa2b49ec383d0a118f73f9cb6	0.790	0.993	0.034	Spearman
da513503b2ff56009fc8a578c819ebcb	0.791	0.993	-0.032	Spearman
7f088cac1fcdba8c0195c47096264049	0.798	0.993	0.037	Spearman
6a7a5b8592e878c6065ab49055907e1a	0.802	0.993	0.037	Spearman
890b0fb43b36350b30ca02829f3e91ad	0.803	0.993	0.041	Spearman
c50d9f53af04313b5497bb9c55275c7c	0.808	0.993	0.034	Spearman
c8d5fdc244ae17e9558f5025b812d6eb	0.809	0.993	0.034	Spearman
f342e124ffe9a9d3e0e492ff00ed674e	0.825	0.993	0.032	Spearman
4bdc300e2a73d2456d8f5f301cd79b24	0.832	0.993	0.030	Spearman
8b268033f40f7b9e9f0a33d71e9c1936	0.837	0.993	0.027	Spearman
adba26ac34bc5a82de3fd3fb5efbd33e	0.837	0.993	0.030	Spearman
db927f3e3abb74321d0262b8624b01c7	0.839	0.993	0.030	Spearman
99bf847cdf4b42889ec796b79dff8c25	0.840	0.993	0.025	Spearman
b5f3ca43eee20152738a029642f31149	0.842	0.993	0.027	Spearman
efd61c8a200b0dfb04999c1cbc4a509f	0.845	0.993	0.027	Spearman
d61038bd0af574cc1fb1f9ecef204bbf	0.851	0.993	0.027	Spearman
d40cb52e5d7086fee99ae0907fd334f9	0.852	0.993	0.027	Spearman
0c5de29041b1bcfe2010ba9bde32f320	0.858	0.993	0.025	Spearman
ea16290abb78a15048ba32ff78200ec5	0.863	0.993	0.025	Spearman
1a3bb25b7d08acf0c021cca6623e477e	0.872	0.993	0.023	Spearman
9c1d747424d14efaa95f8e742a4cdf37	0.874	0.993	0.025	Spearman
2130ca17584e2024351e25847b07de48	0.875	0.993	0.025	Spearman
e3eb7f52eef0ad7aec4db88af12eb3cd	0.890	0.993	-0.023	Spearman
7ef0412f12032fcc6224d8d98783f44f	0.892	0.993	0.023	Spearman
fd6ff46f1b85f9ed17f80fe98868119c	0.895	0.993	0.021	Spearman
a4e3412f19bae543184b7ee353711e30	0.895	0.993	0.018	Spearman
d9b3a569d44a34c6a764a5a298219d08	0.901	0.993	-0.018	Spearman
92c359d5fc0b3cd4cf326768b8132a41	0.915	0.993	0.014	Spearman
579e5bbf5706c28209744c33484c4b8c	0.918	0.993	0.018	Spearman
3d0a205de99f5295bc4b374649c57575	0.920	0.993	0.014	Spearman
68c4c822540f83dfe06bbc19f708d882	0.923	0.993	0.014	Spearman
79211df1215da97e2f8277d6b2222fe2	0.928	0.993	-0.014	Spearman
539265e101086f2e7d8aa51c05152c1b	0.932	0.993	0.014	Spearman
dfaaa901a526111d492d3d2f61435275	0.937	0.993	0.014	Spearman
a135d244d0364d5d06535e56882a84a5	0.938	0.993	-0.011	Spearman
2bf8231073721bfc54aa8ebeb6912a20	0.939	0.993	0.011	Spearman
0c0cca5bec99fb78e2bb61c3935b025d	0.939	0.993	-0.014	Spearman
ee121b5310faf3d1c9e119e3ac6048ba	0.939	0.993	0.014	Spearman
7f6f04cff14b6c730f64324e546e2d6b	0.941	0.993	0.011	Spearman
f7b11f46a4c69e77e82476e16e9df760	0.953	0.993	0.009	Spearman
d3ab276830b02edd6977f850f0ef8caa	0.955	0.993	0.009	Spearman
0420d390149c22d99f06f042f8e82022	0.956	0.993	0.009	Spearman
2c18fa52b1be278e8fbf731b531e3174	0.958	0.993	0.007	Spearman
9b05f9d3b68356c051503c00d6b3d333	0.959	0.993	0.011	Spearman
319412737efae4ec36f93f4db011de0e	0.972	0.993	0.007	Spearman
bd26e97e57ceb47cf6ab7d5b5e947f62	0.973	0.993	-0.005	Spearman
04fee52d3a95545eea1c45e2e63ce362	0.974	0.993	-0.007	Spearman
4f39ef900d88365c3eac06f13c776b8f	0.982	0.993	0.005	Spearman
08d77d3861ee0c24205b9a999144495f	0.982	0.993	-0.005	Spearman
9bfd7d6705ff77f170d74bd7d21e15c7	0.987	0.993	0.005	Spearman
e5c7942ab79294bf4c19761c8bbbf920	0.989	0.993	0.002	Spearman
a418705a2b62c68553ceec65922142a4	0.990	0.993	0.002	Spearman
e0db0916d5f4bc79913c096d6f7f23e0	0.993	0.993	0.002	Spearman
