sampleid	feature_count	names	condition	field	root_weight	GPSN	GPSW	severity_plant	severity_leaf	nodules	comment	batch	sample_control
NS.1671.002.FLD_ill_123_i7...IDT_i5_10.F3B5_ITS2_L001_R1_001.fastq.gz	14397	F3B5	Soil	3	NA	37650056	-87939301	NA	NA	Unknown	NA	6	sample
NS.1671.002.FLD_ill_124_i7...IDT_i5_10.F3B7_ITS2_L001_R1_001.fastq.gz	82782	F3B7	Soil	3	NA	37649649	-87939032	NA	NA	Unknown	NA	6	sample
NS.1671.002.FLD_ill_125_i7...IDT_i5_10.F3B10_ITS2_L001_R1_001.fastq.gz	37886	F3B10	Soil	3	NA	3764961	-8793852	NA	NA	Unknown	NA	6	sample
NS.1671.002.FLD_ill_126_i7...IDT_i5_10.F4B1_ITS2_L001_R1_001.fastq.gz	67139	F4B1	Soil	4	NA	37728131	-87946365	NA	NA	Unknown	NA	6	sample
NS.1671.002.FLD_ill_127_i7...IDT_i5_10.F4B3_ITS2_L001_R1_001.fastq.gz	94249	F4B3	Soil	4	NA	37728074	-87946045	NA	NA	Unknown	NA	6	sample
NS.1671.002.FLD_ill_128_i7...IDT_i5_10.F4B5_ITS2_L001_R1_001.fastq.gz	183662	F4B5	Soil	4	NA	3772759	-8794582	NA	NA	Unknown	NA	6	sample
NS.1671.002.FLD_ill_129_i7...IDT_i5_11.F4B9_ITS2_L001_R1_001.fastq.gz	229909	F4B9	Soil	4	NA	37727339	-87945323	NA	NA	Unknown	NA	6	sample
NS.1671.002.FLD_ill_169_i7...IDT_i5_3.F1B2_ITS2_L001_R1_001.fastq.gz	108457	F1B2	Soil	1	NA	NA	NA	NA	NA	NA	NA	4	sample
NS.1671.002.FLD_ill_171_i7...IDT_i5_3.F1B5_ITS2_L001_R1_001.fastq.gz	80266	F1B5	Soil	1	NA	NA	NA	NA	NA	NA	NA	4	sample
NS.1671.002.FLD_ill_172_i7...IDT_i5_3.F1B6_ITS2_L001_R1_001.fastq.gz	78562	F1B6	Soil	1	NA	NA	NA	NA	NA	NA	NA	4	sample
NS.1671.002.FLD_ill_173_i7...IDT_i5_3.F1B8_ITS2_L001_R1_001.fastq.gz	139615	F1B8	Soil	1	NA	NA	NA	NA	NA	NA	NA	4	sample
NS.1671.002.FLD_ill_174_i7...IDT_i5_3.F1B9_ITS2_L001_R1_001.fastq.gz	199963	F1B9	Soil	1	NA	NA	NA	NA	NA	NA	NA	4	sample
NS.1671.002.FLD_ill_175_i7...IDT_i5_3.F2B2_ITS2_L001_R1_001.fastq.gz	89078	F2B2	Soil	2	NA	37735598	-87946161	NA	NA	NA	NA	4	sample
NS.1671.002.FLD_ill_176_i7...IDT_i5_3.F2B3_ITS2_L001_R1_001.fastq.gz	92821	F2B3	Soil	2	NA	37736278	-87947569	NA	NA	NA	NA	4	sample
NS.1671.002.FLD_ill_177_i7...IDT_i5_4.F2B5_ITS2_L001_R1_001.fastq.gz	102561	F2B5	Soil	2	NA	37735935	-87946845	NA	NA	NA	NA	4	sample
NS.1671.002.FLD_ill_178_i7...IDT_i5_4.F2B7_ITS2_L001_R1_001.fastq.gz	79570	F2B7	Soil	2	NA	37736424	-87946592	NA	NA	NA	NA	4	sample
NS.1671.002.FLD_ill_179_i7...IDT_i5_4.F2B9_ITS2_L001_R1_001.fastq.gz	140944	F2B9	Soil	2	NA	37736642	-87947127	NA	NA	NA	NA	4	sample
NS.1671.002.FLD_ill_180_i7...IDT_i5_4.F2B10_ITS2_L001_R1_001.fastq.gz	151541	F2B10	Soil	2	NA	37736137	-87946136	NA	NA	NA	NA	4	sample
NS.1671.002.FLD_ill_181_i7...IDT_i5_4.F3B1_ITS2_L001_R1_001.fastq.gz	156381	F3B1	Soil	3	NA	37649927	-87937627	NA	NA	Unknown	NA	4	sample
NS.1671.002.FLD_ill_182_i7...IDT_i5_4.F3B3_ITS2_L001_R1_001.fastq.gz	49841	F3B3	Soil	3	NA	37650189	-87938688	NA	NA	Unknown	NA	4	sample
NS.1671.002.FLD_ill_183_i7...IDT_i5_4.F3B6_ITS2_L001_R1_001.fastq.gz	95024	F3B6	Soil	3	NA	37650056	-87939301	NA	NA	Unknown	NA	4	sample
NS.1671.002.FLD_ill_184_i7...IDT_i5_4.F3B8_ITS2_L001_R1_001.fastq.gz	28572	F3B8	Soil	3	NA	37649649	-87939032	NA	NA	Unknown	NA	4	sample
NS.1671.002.FLD_ill_185_i7...IDT_i5_5.F3B9_ITS2_L001_R1_001.fastq.gz	181827	F3B9	Soil	3	NA	3764961	-8793852	NA	NA	Unknown	NA	4	sample
NS.1671.002.FLD_ill_186_i7...IDT_i5_5.F4B2_ITS2_L001_R1_001.fastq.gz	98408	F4B2	Soil	4	NA	3772826	-87946225	NA	NA	Unknown	NA	4	sample
NS.1671.002.FLD_ill_187_i7...IDT_i5_5.F4B4_ITS2_L001_R1_001.fastq.gz	130153	F4B4	Soil	4	NA	37727827	-87945811	NA	NA	Unknown	NA	4	sample
NS.1671.002.FLD_ill_188_i7...IDT_i5_5.F4B6_ITS2_L001_R1_001.fastq.gz	93760	F4B6	Soil	4	NA	37727444	-87945605	NA	NA	Unknown	NA	4	sample
NS.1671.002.FLD_ill_189_i7...IDT_i5_5.F4B7_ITS2_L001_R1_001.fastq.gz	3647	F4B7	Soil	4	NA	37727759	-87945329	NA	NA	Unknown	NA	4	sample
NS.1671.002.FLD_ill_190_i7...IDT_i5_5.F4B8_ITS2_L001_R1_001.fastq.gz	35810	F4B8	Soil	4	NA	37727759	-87945329	NA	NA	Unknown	NA	4	sample
NS.1671.002.FLD_ill_191_i7...IDT_i5_5.F4B10_ITS2_L001_R1_001.fastq.gz	123418	F4B10	Soil	4	NA	37727339	-87945323	NA	NA	Unknown	NA	4	sample
NS.1671.002.FLD_ill_192_i7...IDT_i5_7.F1B4_ITS2_L001_R1_001.fastq.gz	15513	F1B4	Soil	1	NA	NA	NA	NA	NA	NA	NA	4	sample
NS.1671.002.FLD_ill_097_i7...IDT_i5_7.F1D19_ITS2_L001_R1_001.fastq.gz	157263	F1D19	Infected	1	5682475	37652263	-87942768	1	2	Unknown	NA	5	sample
NS.1671.002.FLD_ill_098_i7...IDT_i5_7.F1D26_ITS2_L001_R1_001.fastq.gz	131562	F1D26	Infected	1	3844075	37652182	-87940915	1	1	Unknown	NA	5	sample
NS.1671.002.FLD_ill_099_i7...IDT_i5_6.F1D1_ITS2_L001_R1_001.fastq.gz	98535	F1D1	Infected	1	1869875	37652203	-8794332	1	1	Unknown	NA	1	sample
NS.1671.002.FLD_ill_099_i7...IDT_i5_7.F1D29_ITS2_L001_R1_001.fastq.gz	108928	F1D29	Infected	1	7305575	37652054	-87939619	1	2	Unknown	NA	5	sample
NS.1671.002.FLD_ill_100_i7...IDT_i5_6.F1D2_ITS2_L001_R1_001.fastq.gz	133029	F1D2	Infected	1	1873675	37652203	-8794332	1	1	Unknown	NA	1	sample
NS.1671.002.FLD_ill_101_i7...IDT_i5_6.F1D4_ITS2_L001_R1_001.fastq.gz	127781	F1D4	Infected	1	2045975	37652203	-8794332	1	2	Unknown	NA	1	sample
NS.1671.002.FLD_ill_101_i7...IDT_i5_8.F1D6_ITS2_L001_R1_001.fastq.gz	103896	F1D6	Infected	1	5465175	37652203	-8794332	1	1	Unknown	NA	10	sample
NS.1671.002.FLD_ill_102_i7...IDT_i5_6.F1D10_ITS2_L001_R1_001.fastq.gz	131257	F1D10	Infected	1	3365075	37652203	-8794332	1	2	Unknown	NA	1	sample
NS.1671.002.FLD_ill_102_i7...IDT_i5_8.F1D11_ITS2_L001_R1_001.fastq.gz	132358	F1D11	Infected	1	4398275	37652203	-8794332	1	1	Unknown	NA	10	sample
NS.1671.002.FLD_ill_104_i7...IDT_i5_6.F2D2_ITS2_L001_R1_001.fastq.gz	133708	F2D2	Infected	2	6119275	37736775	-87945451	3	3	Unknown	NA	1	sample
NS.1671.002.FLD_ill_105_i7...IDT_i5_7.F2D5_ITS2_L001_R1_001.fastq.gz	121011	F2D5	Infected	2	3141475	37736137	-87946136	2	3	Unknown	NA	1	sample
NS.1671.002.FLD_ill_105_i7...IDT_i5_8.F4D5_ITS2_L001_R1_001.fastq.gz	202897	F4D5	Infected	4	6367175	3772826	-87946225	3	3	Unknown	NA	5	sample
NS.1671.002.FLD_ill_106_i7...IDT_i5_7.F2D12_ITS2_L001_R1_001.fastq.gz	8014	F2D12	Infected	2	2287475	37736278	-87947569	1	3	Unknown	NA	1	sample
NS.1671.002.FLD_ill_106_i7...IDT_i5_8.F3D9_ITS2_L001_R1_001.fastq.gz	173354	F3D9	Infected	3	4021575	37650385	-87938432	2	3	Unknown	NA	5	sample
NS.1671.002.FLD_ill_107_i7...IDT_i5_7.F2D29_ITS2_L001_R1_001.fastq.gz	150118	F2D29	Infected	2	4017075	37736642	-87947127	2	3	Unknown	Intertwined	1	sample
NS.1671.002.FLD_ill_108_i7...IDT_i5_7.F3D13_ITS2_L001_R1_001.fastq.gz	103673	F3D13	Infected	3	12523075	37650189	-87938688	2	3	Unknown	NA	1	sample
NS.1671.002.FLD_ill_108_i7...IDT_i5_8.F3D1_ITS2_L001_R1_001.fastq.gz	155805	F3D1	Infected	3	2691575	37649927	-87937627	1	2	Unknown	Intertwined	5	sample
NS.1671.002.FLD_ill_109_i7...IDT_i5_7.F3D18_ITS2_L001_R1_001.fastq.gz	70711	F3D18	Infected	3	9676675	37650267	-87939255	1	1	Unknown	NA	1	sample
NS.1671.002.FLD_ill_109_i7...IDT_i5_8.F4D2_ITS2_L001_R1_001.fastq.gz	172707	F4D2	Infected	4	6937275	37728131	-87946365	1	2	Unknown	NA	5	sample
NS.1671.002.FLD_ill_110_i7...IDT_i5_7.F3D20_ITS2_L001_R1_001.fastq.gz	114963	F3D20	Infected	3	5509675	37650267	-87939255	1	1	Unknown	NA	1	sample
NS.1671.002.FLD_ill_110_i7...IDT_i5_8.F3D12_ITS2_L001_R1_001.fastq.gz	189595	F3D12	Infected	3	4753175	3765035	-87938843	2	2	Unknown	NA	5	sample
NS.1671.002.FLD_ill_111_i7...IDT_i5_7.F3D26_ITS2_L001_R1_001.fastq.gz	178987	F3D26	Infected	3	11202575	37649649	-87939032	2	3	Unknown	NA	1	sample
NS.1671.002.FLD_ill_111_i7...IDT_i5_8.F4D9_ITS2_L001_R1_001.fastq.gz	223837	F4D9	Infected	4	5297975	37728074	-87946045	4	3	Unknown	NA	5	sample
NS.1671.002.FLD_ill_111_i7...IDT_i5_9.F3D14_ITS2_L001_R1_001.fastq.gz	185326	F3D14	Infected	3	11450775	37650189	-87938688	4	4	Unknown	NA	10	sample
NS.1671.002.FLD_ill_112_i7...IDT_i5_7.F3D28_ITS2_L001_R1_001.fastq.gz	164766	F3D28	Infected	3	4120375	3764961	-8793852	1	1	Unknown	NA	1	sample
NS.1671.002.FLD_ill_112_i7...IDT_i5_9.F3D21_ITS2_L001_R1_001.fastq.gz	135826	F3D21	Infected	3	8194775	37650056	-87939301	2	3	Unknown	NA	10	sample
NS.1671.002.FLD_ill_113_i7...IDT_i5_10.F3D24_ITS2_L001_R1_001.fastq.gz	179368	F3D24	Infected	3	6763875	37650056	-87939301	1	2	Unknown	NA	10	sample
NS.1671.002.FLD_ill_113_i7...IDT_i5_8.F3D30_ITS2_L001_R1_001.fastq.gz	195900	F3D30	Infected	3	5443475	3764961	-8793852	3	3	Unknown	NA	1	sample
NS.1671.002.FLD_ill_114_i7...IDT_i5_10.F3D25_ITS2_L001_R1_001.fastq.gz	154783	F3D25	Infected	3	5419975	37649649	-87939032	1	2	Unknown	NA	10	sample
NS.1671.002.FLD_ill_124_i7...IDT_i5_11.F1D5_ITS2_L001_R1_001.fastq.gz	77811	F1D5	Infected	1	2835175	37652203	-8794332	1	1	Unknown	NA	11	sample
NS.1671.002.FLD_ill_125_i7...IDT_i5_11.F1D7_ITS2_L001_R1_001.fastq.gz	106003	F1D7	Infected	1	1104975	37652203	-8794332	1	1	Unknown	NA	11	sample
NS.1671.002.FLD_ill_126_i7...IDT_i5_11.F1D8_ITS2_L001_R1_001.fastq.gz	107045	F1D8	Infected	1	3396575	37652203	-8794332	1	2	Unknown	NA	11	sample
NS.1671.002.FLD_ill_127_i7...IDT_i5_11.F1D9_ITS2_L001_R1_001.fastq.gz	116824	F1D9	Infected	1	2910475	37652203	-8794332	1	3	Unknown	NA	11	sample
NS.1671.002.FLD_ill_128_i7...IDT_i5_11.F2D1_ITS2_L001_R1_001.fastq.gz	12783	F2D1	Infected	2	1632475	37736775	-87945451	3	4	Unknown	NA	11	sample
NS.1671.002.FLD_ill_129_i7...IDT_i5_12.F2D4_ITS2_L001_R1_001.fastq.gz	979	F2D4	Infected	2	1350875	37736137	-87946136	2	3	Unknown	Intertwined	11	sample
NS.1671.002.FLD_ill_130_i7...IDT_i5_12.F2D6_ITS2_L001_R1_001.fastq.gz	157573	F2D6	Infected	2	3667275	37735598	-87946161	4	4	Unknown	NA	11	sample
NS.1671.002.FLD_ill_131_i7...IDT_i5_12.F2D7_ITS2_L001_R1_001.fastq.gz	110412	F2D7	Infected	2	4124875	37735598	-87946161	1	1	Unknown	NA	11	sample
NS.1671.002.FLD_ill_132_i7...IDT_i5_12.F2D8_ITS2_L001_R1_001.fastq.gz	129102	F2D8	Infected	2	5680975	37735598	-87946161	2	2	Unknown	Intertwined	11	sample
NS.1671.002.FLD_ill_133_i7...IDT_i5_12.F2D16_ITS2_L001_R1_001.fastq.gz	29952	F2D16	Infected	2	2155175	37735938	-87946994	1	1	Unknown	NA	11	sample
NS.1671.002.FLD_ill_134_i7...IDT_i5_12.F2D17_ITS2_L001_R1_001.fastq.gz	20323	F2D17	Infected	2	2883775	37735935	-87946845	3	3	Unknown	Intertwined	11	sample
NS.1671.002.FLD_ill_135_i7...IDT_i5_12.F2D18_ITS2_L001_R1_001.fastq.gz	93994	F2D18	Infected	2	3934075	37735935	-87946845	1	3	Unknown	NA	11	sample
NS.1671.002.FLD_ill_136_i7...IDT_i5_11.F1D13_ITS2_L001_R1_001.fastq.gz	170707	F1D13	Infected	1	5159775	37652139	-87943053	1	2	Unknown	NA	7	sample
NS.1671.002.FLD_ill_136_i7...IDT_i5_12.F2D21_ITS2_L001_R1_001.fastq.gz	23899	F2D21	Infected	2	4708975	3773643	-87946181	1	2	Unknown	NA	11	sample
NS.1671.002.FLD_ill_137_i7...IDT_i5_1.F2D22_ITS2_L001_R1_001.fastq.gz	50217	F2D22	Infected	2	5672275	3773643	-87946181	1	3	Unknown	NA	11	sample
NS.1671.002.FLD_ill_137_i7...IDT_i5_12.F1D15_ITS2_L001_R1_001.fastq.gz	105038	F1D15	Infected	1	4983575	37652333	-8794305	1	1	Unknown	NA	7	sample
NS.1671.002.FLD_ill_138_i7...IDT_i5_1.F2D24_ITS2_L001_R1_001.fastq.gz	143344	F2D24	Infected	2	4997675	3773643	-87946181	1	3	Unknown	Intertwined	11	sample
NS.1671.002.FLD_ill_138_i7...IDT_i5_11.F3D17_ITS2_L001_R1_001.fastq.gz	162357	F3D17	Infected	3	15712675	37650267	-87939255	4	4	Unknown	NA	2	sample
NS.1671.002.FLD_ill_138_i7...IDT_i5_12.F1D16_ITS2_L001_R1_001.fastq.gz	88738	F1D16	Infected	1	6966775	37652333	-8794305	1	3	Unknown	NA	7	sample
NS.1671.002.FLD_ill_139_i7...IDT_i5_1.F2D25_ITS2_L001_R1_001.fastq.gz	869	F2D25	Infected	2	2396775	37736424	-87946592	3	3	Unknown	NA	11	sample
NS.1671.002.FLD_ill_139_i7...IDT_i5_12.F1D17_ITS2_L001_R1_001.fastq.gz	118198	F1D17	Infected	1	9823075	37652333	-8794305	1	3	Unknown	NA	7	sample
NS.1671.002.FLD_ill_140_i7...IDT_i5_1.F2D26_ITS2_L001_R1_001.fastq.gz	106546	F2D26	Infected	2	8283075	37736424	-87946592	2	3	Unknown	NA	11	sample
NS.1671.002.FLD_ill_140_i7...IDT_i5_12.F1D18_ITS2_L001_R1_001.fastq.gz	190116	F1D18	Infected	1	6219075	37652333	-8794305	1	2	Unknown	NA	7	sample
NS.1671.002.FLD_ill_141_i7...IDT_i5_1.F2D28_ITS2_L001_R1_001.fastq.gz	3619	F2D28	Infected	2	3809075	37736424	-87946592	3	3	Unknown	Intertwined	11	sample
NS.1671.002.FLD_ill_141_i7...IDT_i5_12.F1D23_ITS2_L001_R1_001.fastq.gz	57814	F1D23	Infected	1	5226475	37652158	-87941629	1	1	Unknown	NA	7	sample
NS.1671.002.FLD_ill_142_i7...IDT_i5_1.F4D18_ITS2_L001_R1_001.fastq.gz	130701	F4D18	Infected	4	8645875	3772759	-8794582	4	4	Unknown	NA	11	sample
NS.1671.002.FLD_ill_142_i7...IDT_i5_12.F1D24_ITS2_L001_R1_001.fastq.gz	105889	F1D24	Infected	1	5785475	37652158	-87941629	1	2	Unknown	NA	7	sample
NS.1671.002.FLD_ill_143_i7...IDT_i5_11.F4D3_ITS2_L001_R1_001.fastq.gz	83544	F4D3	Infected	4	14088975	37728131	-87946365	1	2	Yes	Intertwined	2	sample
NS.1671.002.FLD_ill_147_i7...IDT_i5_1.F2D10_ITS2_L001_R1_001.fastq.gz	150549	F2D10	Infected	2	4030275	37735598	-87946161	2	3	Unknown	Intertwined	7	sample
NS.1671.002.FLD_ill_148_i7...IDT_i5_1.F2D11_ITS2_L001_R1_001.fastq.gz	168420	F2D11	Infected	2	3708875	37736278	-87947569	1	1	Unknown	NA	7	sample
NS.1671.002.FLD_ill_148_i7...IDT_i5_2.F3D5_ITS2_L001_R1_001.fastq.gz	9692	F3D5	Infected	3	3660575	37650195	-87937868	1	1	Unknown	NA	12	sample
NS.1671.002.FLD_ill_149_i7...IDT_i5_1.F2D14_ITS2_L001_R1_001.fastq.gz	137709	F2D14	Infected	2	2721375	37735938	-87946994	1	4	Unknown	NA	7	sample
NS.1671.002.FLD_ill_149_i7...IDT_i5_2.F3D15_ITS2_L001_R1_001.fastq.gz	207256	F3D15	Infected	3	7431975	37650189	-87938688	3	3	Unknown	Intertwined	12	sample
NS.1671.002.FLD_ill_150_i7...IDT_i5_1.F2D15_ITS2_L001_R1_001.fastq.gz	122501	F2D15	Infected	2	2010575	37735938	-87946994	1	3	Unknown	NA	7	sample
NS.1671.002.FLD_ill_150_i7...IDT_i5_2.F3D16_ITS2_L001_R1_001.fastq.gz	124836	F3D16	Infected	3	4022675	37650189	-87938688	2	3	Unknown	NA	12	sample
NS.1671.002.FLD_ill_151_i7...IDT_i5_1.F2D19_ITS2_L001_R1_001.fastq.gz	43421	F2D19	Infected	2	5505275	37735935	-87946845	1	2	Unknown	NA	7	sample
NS.1671.002.FLD_ill_151_i7...IDT_i5_2.F3D19_ITS2_L001_R1_001.fastq.gz	210569	F3D19	Infected	3	11681575	37650267	-87939255	3	3	Unknown	NA	12	sample
NS.1671.002.FLD_ill_152_i7...IDT_i5_1.F2D20_ITS2_L001_R1_001.fastq.gz	58015	F2D20	Infected	2	4787775	37735935	-87946845	1	2	Unknown	Intertwined	7	sample
NS.1671.002.FLD_ill_152_i7...IDT_i5_2.F3D22_ITS2_L001_R1_001.fastq.gz	215047	F3D22	Infected	3	6764475	37650056	-87939301	2	3	Unknown	NA	12	sample
NS.1671.002.FLD_ill_153_i7...IDT_i5_2.F2D23_ITS2_L001_R1_001.fastq.gz	137220	F2D23	Infected	2	2863075	3773643	-87946181	1	2	Unknown	NA	7	sample
NS.1671.002.FLD_ill_153_i7...IDT_i5_3.F3D23_ITS2_L001_R1_001.fastq.gz	68586	F3D23	Infected	3	10119075	37650056	-87939301	3	4	Unknown	NA	12	sample
NS.1671.002.FLD_ill_154_i7...IDT_i5_1.F4D4_ITS2_L001_R1_001.fastq.gz	20875	F4D4	Infected	4	9596275	37728131	-87946365	1	2	Unknown	Intertwined	3	sample
NS.1671.002.FLD_ill_154_i7...IDT_i5_3.F3D27_ITS2_L001_R1_001.fastq.gz	113653	F3D27	Infected	3	5112775	37649649	-87939032	2	2	Unknown	NA	12	sample
NS.1671.002.FLD_ill_155_i7...IDT_i5_1.F4D6_ITS2_L001_R1_001.fastq.gz	45836	F4D6	Infected	4	4657975	3772826	-87946225	4	4	Unknown	NA	3	sample
NS.1671.002.FLD_ill_155_i7...IDT_i5_3.F3D29_ITS2_L001_R1_001.fastq.gz	98415	F3D29	Infected	3	12561675	3764961	-8793852	2	3	Unknown	NA	12	sample
NS.1671.002.FLD_ill_156_i7...IDT_i5_1.F4D11_ITS2_L001_R1_001.fastq.gz	1083	F4D11	Infected	4	7655475	37728074	-87946045	3	3	Unknown	Intertwined	3	sample
NS.1671.002.FLD_ill_157_i7...IDT_i5_1.F4D14_ITS2_L001_R1_001.fastq.gz	655	F4D14	Infected	4	5546075	37727827	-87945811	1	3	Unknown	NA	3	sample
NS.1671.002.FLD_ill_158_i7...IDT_i5_1.F4D15_ITS2_L001_R1_001.fastq.gz	78743	F4D15	Infected	4	4354575	37727827	-87945811	2	4	Unknown	NA	3	sample
NS.1671.002.FLD_ill_159_i7...IDT_i5_1.F4D19_ITS2_L001_R1_001.fastq.gz	11260	F4D19	Infected	4	5028275	3772759	-8794582	2	3	Unknown	Intertwined	3	sample
NS.1671.002.FLD_ill_159_i7...IDT_i5_2.F1D21_ITS2_L001_R1_001.fastq.gz	81068	F1D21	Infected	1	6262975	37652158	-87941629	1	2	Unknown	NA	8	sample
NS.1671.002.FLD_ill_160_i7...IDT_i5_1.F4D20_ITS2_L001_R1_001.fastq.gz	12546	F4D20	Infected	4	4018775	3772759	-8794582	2	3	Unknown	NA	3	sample
NS.1671.002.FLD_ill_160_i7...IDT_i5_2.F1D27_ITS2_L001_R1_001.fastq.gz	149390	F1D27	Infected	1	8733775	37652182	-87940915	1	2	Unknown	NA	8	sample
NS.1671.002.FLD_ill_161_i7...IDT_i5_2.F4D22_ITS2_L001_R1_001.fastq.gz	54605	F4D22	Infected	4	7348075	37727444	-87945605	2	3	Unknown	NA	3	sample
NS.1671.002.FLD_ill_161_i7...IDT_i5_3.F1D30_ITS2_L001_R1_001.fastq.gz	117089	F1D30	Infected	1	10136075	37652202	-87940276	1	3	Unknown	NA	8	sample
NS.1671.002.FLD_ill_162_i7...IDT_i5_2.F4D23_ITS2_L001_R1_001.fastq.gz	143534	F4D23	Infected	4	6782375	37727444	-87945605	1	3	Unknown	NA	3	sample
NS.1671.002.FLD_ill_163_i7...IDT_i5_2.F4D24_ITS2_L001_R1_001.fastq.gz	123850	F4D24	Infected	4	2433575	37727444	-87945605	3	3	Unknown	NA	3	sample
NS.1671.002.FLD_ill_164_i7...IDT_i5_2.F4D26_ITS2_L001_R1_001.fastq.gz	32215	F4D26	Infected	4	0.837775	37727759	-87945329	1	2	Unknown	NA	3	sample
NS.1671.002.FLD_ill_165_i7...IDT_i5_2.F4D28_ITS2_L001_R1_001.fastq.gz	93223	F4D28	Infected	4	4388275	37727339	-87945323	4	4	Unknown	NA	3	sample
NS.1671.002.FLD_ill_166_i7...IDT_i5_2.F4D29_ITS2_L001_R1_001.fastq.gz	34315	F4D29	Infected	4	2331275	37727339	-87945323	1	3	Unknown	NA	3	sample
NS.1671.002.FLD_ill_167_i7...IDT_i5_2.F4D30_ITS2_L001_R1_001.fastq.gz	91233	F4D30	Infected	4	8370275	37727339	-87945323	2	3	Unknown	NA	3	sample
NS.1671.002.FLD_ill_169_i7...IDT_i5_5.F1D12_ITS2_L001_R1_001.fastq.gz	106217	F1D12	Infected	1	7927175	37652139	-87943053	1	2	Unknown	NA	13	sample
NS.1671.002.FLD_ill_170_i7...IDT_i5_5.F1D14_ITS2_L001_R1_001.fastq.gz	177349	F1D14	Infected	1	6272275	37652333	-8794305	1	2	Unknown	NA	13	sample
NS.1671.002.FLD_ill_171_i7...IDT_i5_4.F1D3_ITS2_L001_R1_001.fastq.gz	202797	F1D3	Infected	1	4514175	37652203	-8794332	1	1	Unknown	NA	9	sample
NS.1671.002.FLD_ill_171_i7...IDT_i5_5.F1D20_ITS2_L001_R1_001.fastq.gz	163515	F1D20	Infected	1	6544775	37652263	-87942768	1	1	Unknown	NA	13	sample
NS.1671.002.FLD_ill_172_i7...IDT_i5_5.F1D22_ITS2_L001_R1_001.fastq.gz	201775	F1D22	Infected	1	3850575	37652158	-87941629	1	1	Unknown	NA	13	sample
NS.1671.002.FLD_ill_173_i7...IDT_i5_5.F1D25_ITS2_L001_R1_001.fastq.gz	140591	F1D25	Infected	1	9668575	37652182	-87940915	1	2	Unknown	NA	13	sample
NS.1671.002.FLD_ill_174_i7...IDT_i5_5.F1D28_ITS2_L001_R1_001.fastq.gz	94046	F1D28	Infected	1	3022175	37652005	-87940043	1	1	Unknown	NA	13	sample
NS.1671.002.FLD_ill_175_i7...IDT_i5_5.F2D3_ITS2_L001_R1_001.fastq.gz	177739	F2D3	Infected	2	3662875	37736775	-87945451	3	3	Unknown	Worm	13	sample
NS.1671.002.FLD_ill_176_i7...IDT_i5_5.F2D9_ITS2_L001_R1_001.fastq.gz	149130	F2D9	Infected	2	3191475	37735598	-87946161	2	2	Unknown	NA	13	sample
NS.1671.002.FLD_ill_177_i7...IDT_i5_6.F2D13_ITS2_L001_R1_001.fastq.gz	97304	F2D13	Infected	2	6455075	37736278	-87947569	2	3	Unknown	NA	13	sample
NS.1671.002.FLD_ill_178_i7...IDT_i5_5.F3D2_ITS2_L001_R1_001.fastq.gz	115307	F3D2	Infected	3	4700275	37649927	-87937627	1	1	Unknown	NA	9	sample
NS.1671.002.FLD_ill_178_i7...IDT_i5_6.F2D27_ITS2_L001_R1_001.fastq.gz	83486	F2D27	Infected	2	4611475	37736424	-87946592	3	4	Unknown	NA	13	sample
